english_word,word_class,level,verb_transitivity,hindi_translation,urdu_translation,hindi_transliteration,urdu_transliteration
alien (extraterrestrial being),noun,b2,,एलियन (m) / परग्रही (m) / अंतरिक्ष-वासी (m),एलियन (m) / परग्रही (m) / ख़ला-ई मख़लूक़ (f),ēliyan (m) / paragrahī (m) / aṁtarikṣa-vāsī (m),ēliyan (m) / paragrahī (m) / k͟halā-ī mak͟halūq (f)
alien (foreign national),noun,b2,,विदेशी (m) / परदेसी (m) / अन्यदेशीय (m),विदेशी (m) / अजनबी (m) / ग़ैर-मुल्की (m),vidēśī (m) / paradēsī (m) / anyadēśīy (m),vidēśī (m) / ajanabī (m) / ġair-mulkī (m)
"alive (lively, vibrant)",adjective,b2,,ज़िंदा / जीवंत / सजीव,ज़िंदा / सरगर्म / पुरजोश,ziṁdā / jīvaṁt / sajīv,ziṁdā / saragarm / purajōśa
alongside (in addition to),preposition,b2,,के साथ / के अतिरिक्त / के अलावा,के साथ / के अलावा / के इलावा,kē sāth / kē atirikt / kē alāvā,kē sāth / kē alāvā / kē ilāvā
alongside (in collaboration with),preposition,b2,,के साथ / के सहयोग से / के मिलकर,के साथ / के तआवुन से / के हमराह,kē sāth / kē sahayōg sē / kē milakar,kē sāth / kē taāvun sē / kē hamarāh
altogether (completely),adverb,b2,,पूरी तरह से / बिलकुल / सर्वथा,पूरी तरह से / बिलकुल / सरासर,pūrī tarah sē / bilakul / sarvathā,pūrī tarah sē / bilakul / sarāsar
altogether (overall),adverb,b2,,कुल मिलाकर / सब मिलाकर / समग्रतः,कुल मिलाकर / सब मिलाकर / बज़ात-ए-ख़ुद,kul milākar / sab milākar / samagrataḥ,kul milākar / sab milākar / bazāt-ē-k͟hud
ambulance,noun,b2,,एम्बुलेंस (f) / रोगी-वाहन (m),एम्बुलेंस (f) / रोगी-वाहन (m),ēmbulēṁs (f) / rōgī-vāhan (m),ēmbulēṁs (f) / rōgī-vāhan (m)
amusing (oddly interesting),adjective,b2,,मज़ेदार / मनोरंजक / दिलचस्प,मज़ेदार / दिलचस्प / तफ़रीही,mazēdār / manōraṁjak / dilacasp,mazēdār / dilacasp / tafarīhī
analyst,noun,b2,,विश्लेषक (m) / समीक्षक (m),तजज़िया-कार (m) / मुबस्सिर (m),viślēṣak (m) / samīkṣak (m),tajaziyā-kār (m) / mubassir (m)
ancestor,noun,b2,,पूर्वज (m) / पुरखा (m),पूर्वज (m) / आबा-ओ-अजदाद (m) / बुज़ुर्ग (m),pūrvaj (m) / purakhā (m),pūrvaj (m) / ābā-ō-ajadād (m) / buzurg (m)
"anger (fit of pique, annoyance)",noun,b2,,नाराज़गी (f) / झुंझलाहट (f) / खीझ (f),नाराज़गी (f) / झुंझलाहट (f) / रंजिश (f),nārāzagī (f) / jhuṁjhalāhaṭa (f) / khījh (f),nārāzagī (f) / jhuṁjhalāhaṭa (f) / raṁjiśa (f)
"anger (fury, rage)",noun,b2,,गुस्सा (m) / क्रोध (m) / रोष (m),गुस्सा (m) / ग़ुस्सा (m) / क़हर (m),gussā (m) / krōdh (m) / rōṣa (m),gussā (m) / ġussā (m) / qahar (m)
angle (perspective),noun,b2,,नज़रिया (m) / दृष्टिकोण (m) / पहलू (m),नज़रिया (m) / ज़ाविया (m) / पहलू (m),nazariyā (m) / dr̥ṣṭikōṇa (m) / pahalū (m),nazariyā (m) / zāviyā (m) / pahalū (m)
"animation (film, cartoon technique)",noun,b2,,एनिमेशन (m) / चलचित्रण (m),एनिमेशन (m) / मुतहर्रिक़-कारी (f),ēnimēśan (m) / calacitraṇa (m),ēnimēśan (m) / mutaharriq-kārī (f)
"animation (liveliness, energy)",noun,b2,,जानदारपन (m) / सजीवता (f) / उत्साह (m),जानदारपन (m) / सरगर्मी (f) / जोश (m),jānadārapan (m) / sajīvatā (f) / utsāh (m),jānadārapan (m) / saragarmī (f) / jōśa (m)
"anniversary (death, memorial)",noun,b2,,बरसी (f) / पुण्यतिथि (f) / स्मृति दिवस (m),बरसी (f) / यौम-ए-वफ़ात (m),barasī (f) / puṇyatithi (f) / smr̥ti divas (m),barasī (f) / yaum-ē-vafāt (m)
annual,adjective,b2,,सालाना / वार्षिक,सालाना / हर साल का / वार्षिक,sālānā / vārṣik,sālānā / har sāl kā / vārṣik
"annually (formally, yearly)",adverb,b2,,सालाना / प्रतिवर्ष / वार्षिक रूप से,सालाना / हर साल / वार्षिक तौर पर,sālānā / prativarṣa / vārṣik rūp sē,sālānā / har sāl / vārṣik taur par
"anxiety (worry, restlessness)",noun,b2,,चिंता (f) / बेचैनी (f) / व्याकुलता (f),बेचैनी (f) / फ़िक्र (f) / इज़्तिराब (m),ciṁtā (f) / bēcainī (f) / vyākulatā (f),bēcainī (f) / fikr (f) / iztirāb (m)
anxious (eagerly wanting),adjective,b2,,उत्सुक / बेताब / आतुर,बेताब / मुश्ताक़ / उत्सुक,utsuk / bētāb / ātur,bētāb / muśtāq / utsuk
anxious (impatiently wanting),adjective,b2,,बेचैन / अधीर / आतुर,बेचैन / बेताब / अधीर,bēcain / adhīr / ātur,bēcain / bētāb / adhīr
anxious (worried or nervous),adjective,b2,,चिंतित / परेशान / बेचैन / घबराया हुआ,परेशान / चिंतित / बेचैन / फ़िक्रमंद,ciṁtit / parēśān / bēcain / ghabarāyā huā,parēśān / ciṁtit / bēcain / fikramaṁd
apology,noun,b2,,माफ़ी (f) / क्षमा (f) / खेद (m),माफ़ी (f) / मुआफ़ी (f) / माज़रत (f),māfī (f) / kṣamā (f) / khēd (m),māfī (f) / muāfī (f) / māzarat (f)
apparent (clear),adjective,b2,,साफ़ / स्पष्ट / प्रत्यक्ष,साफ़ / वाज़ेह / अयाँ / ज़ाहिर,sāf / spaṣṭa / pratyakṣa,sāf / vāzēh / ayām̐ / zāhir
apparent (seeming),adjective,b2,,प्रतीत होने वाला / दिखने वाला / आभासी,ज़ाहिरी / मालूम होने वाला / बज़ाहिर,pratīt hōnē vālā / dikhanē vālā / ābhāsī,zāhirī / mālūm hōnē vālā / bazāhir
"apparently (evidently, clearly visible)",adverb,b2,,साफ़ तौर पर / स्पष्ट रूप से / प्रत्यक्षतः,साफ़ ज़ाहिर है / वाज़ेह तौर पर / बज़ाहिर,sāf taur par / spaṣṭa rūp sē / pratyakṣataḥ,sāf zāhir hai / vāzēh taur par / bazāhir
"apparently (from what I hear, understand)",adverb,b2,,सुना है कि / मालूम होता है कि / ज़ाहिर है कि,सुना है कि / मालूम होता है कि / बज़ाहिर / गोया कि,sunā hai ki / mālūm hōtā hai ki / zāhir hai ki,sunā hai ki / mālūm hōtā hai ki / bazāhir / gōyā ki
"appeal (attraction, charm)",noun,b2,,आकर्षण (m) / लुभावन (m) / मोह (m),कशिश (f) / दिलकशी (f) / जाज़बियत (f),ākarṣaṇa (m) / lubhāvan (m) / mōh (m),kaśiśa (f) / dilakaśī (f) / jāzabiyat (f)
appeal (formal request),noun,b2,,अपील (f) / निवेदन (m) / प्रार्थना (f),अपील (f) / दरख़्वास्त (f) / इल्तिजा (f),apīl (f) / nivēdan (m) / prārthanā (f),apīl (f) / darak͟hvāst (f) / iltijā (f)
applicant,noun,b2,,आवेदक (m) / प्रार्थी (m) / उम्मीदवार (m),दरख़्वास्तगुज़ार (m) / उम्मीदवार (m) / मुतलाश़ी (m),āvēdak (m) / prārthī (m) / ummīdavār (m),darak͟hvāstaguzār (m) / ummīdavār (m) / mutalāś̈ī (m)
appointment (assignment to a position),noun,b2,,नियुक्ति (f) / पदस्थापन (m) / तैनाती (f),तकर्रुरी (f) / ओहदा (m) / मंसब (m),niyukti (f) / padasthāpan (m) / tainātī (f),takarrurī (f) / ōhadā (m) / maṁsab (m)
appreciation (gratitude),noun,b2,,आभार (m) / कृतज्ञता (f) / सराहना (f),शुक्रगुज़ारी (f) / एहसानमंदी (f) / क़द्रदानी (f),ābhār (m) / kr̥tajñatā (f) / sarāhanā (f),śukraguzārī (f) / ēhasānamaṁdī (f) / qadradānī (f)
"approach (method, strategy)",noun,b2,,तरीक़ा (m) / विधि (f) / पद्धति (f),तरीक़ा (m) / अंदाज़ (m) / नज़रिया (m),tarīqā (m) / vidhi (f) / paddhati (f),tarīqā (m) / aṁdāz (m) / nazariyā (m)
"approach (physical proximity, arrival)",noun,b2,,पहुँच (f) / आगमन (m) / निकटता (f),आमद (f) / क़ुर्बत (f) / नज़दीकी (f),pahum̐c (f) / āgaman (m) / nikaṭatā (f),āmad (f) / qurbat (f) / nazadīkī (f)
"approach (proposal, overture)",noun,b2,,प्रस्ताव (m) / पेशकश (f) / पहल (f),पेशकश (f) / तज्वीज़ (f) / इब्तिदाई रब्त (m),prastāv (m) / pēśakaśa (f) / pahal (f),pēśakaśa (f) / tajvīz (f) / ibtidāī rabt (m)
appropriate,adjective,b2,,मुनासिब / उचित / सही / उपयुक्त,मुनासिब / मौज़ूँ / दुरुस्त / सही,munāsib / ucit / sahī / upayukt,munāsib / mauzūm̐ / durust / sahī
appropriately (in accordance with requirements),adverb,b2,,आवश्यकतानुसार / नियमानुसार / उचित रूप से,ज़रूरत के मुताबिक़ / मुतालबा के मुताबिक़ / मुनासिब तरीक़े से,āvaśyakatānusār / niyamānusār / ucit rūp sē,zarūrat kē mutābiq / mutālabā kē mutābiq / munāsib tarīqē sē
appropriately (suitably or worthily),adverb,b2,,उपयुक्त रूप से / सही ढंग से / योग्यतानुसार,मुनासिब तरीक़े से / शाइस्तगी से / ब-हक़,upayukt rūp sē / sahī ḍhaṁg sē / yōgyatānusār,munāsib tarīqē sē / śāistagī sē / b-haq
"approval (consent, permission)",noun,b2,,इजाज़त (f) / अनुमति (f) / सहमति (f),इजाज़त (f) / मंज़ूरी (f) / रज़ामंदी (f),ijāzat (f) / anumati (f) / sahamati (f),ijāzat (f) / maṁzūrī (f) / razāmaṁdī (f)
approval (official sanction),noun,b2,,मंज़ूरी (f) / स्वीकृति (f) / अनुमोदन (m),मंज़ूरी (f) / तसदीक़ (f) / इक़रार (m),maṁzūrī (f) / svīkr̥ti (f) / anumōdan (m),maṁzūrī (f) / tasadīq (f) / iqarār (m)
armed (with information or facts),adjective,b2,,जानकारी से लैस / तथ्यों से लैस / सुसज्जित,मालूमात से लैस / हक़ायक़ से लैस / मुसल्लह,jānakārī sē lais / tathyōṁ sē lais / susajjit,mālūmāt sē lais / haqāyaq sē lais / musallah
armored vehicle,noun,b2,,बख्तरबंद गाड़ी (f) / बख्तरबंद वाहन (m),बख़्तरबंद गाड़ी (f) / मुसल्लह गाड़ी (f) / ज़िरहबख़्तर गाड़ी (f),bakhtarabaṁd gāṛī (f) / bakhtarabaṁd vāhan (m),bak͟htarabaṁd gāṛī (f) / musallah gāṛī (f) / zirahabak͟htar gāṛī (f)
arms (body parts),noun,b2,,बाज़ू (m) / भुजा (f),बाज़ू (m) / शाना (m),bāzū (m) / bhujā (f),bāzū (m) / śānā (m)
arms (weapons),noun,b2,,हथियार (m) / शस्त्र (m) / आयुध (m),हथियार (m) / अस्लहा (m) / सिलाह (m),hathiyār (m) / śastr (m) / āyudh (m),hathiyār (m) / aslahā (m) / silāh (m)
arrow (directional symbol),noun,b2,,तीर (m) / बाण (m) / दिशा-चिह्न (m),तीर (m) / निशान (m) / बाण (m),tīr (m) / bāṇa (m) / diśā-cihn (m),tīr (m) / niśān (m) / bāṇa (m)
artificial (insincere),adjective,b2,,बनावटी / दिखावटी / कृत्रिम,बनावटी / दिखावटी / मसनूई,banāvaṭī / dikhāvaṭī / kr̥trim,banāvaṭī / dikhāvaṭī / masanūī
artificial (synthetic),adjective,b2,,बनावटी / कृत्रिम / सिंथेटिक,मसनूई / बनावटी / सिंथेटिक,banāvaṭī / kr̥trim / siṁthēṭik,masanūī / banāvaṭī / siṁthēṭik
artistic,adjective,b2,,कलात्मक / कला संबंधी / कलापूर्ण,फ़नकाराना / हुनरमंद / कलात्मक,kalātmak / kalā saṁbaṁdhī / kalāpūrṇa,fanakārānā / hunaramaṁd / kalātmak
artwork (graphic design),noun,b2,,कलाकृति (f) / कला कार्य (m) / ग्राफ़िक डिज़ाइन (m),फ़न्नी काम (m) / कलाकृति (f) / ग्राफ़िक डिज़ाइन (m),kalākr̥ti (f) / kalā kāry (m) / grāfik ḍizāin (m),fannī kām (m) / kalākr̥ti (f) / grāfik ḍizāin (m)
ashamed,adjective,b2,,शर्मिंदा / लज्जित / शरमाया हुआ,शर्मिंदा / नदामतज़दा / ख़जिल,śarmiṁdā / lajjit / śaramāyā huā,śarmiṁdā / nadāmatazadā / k͟hajil
"aside (reserved, saved)",adverb,b2,,अलग / बचाकर / एक तरफ़,अलग / बचाकर / एक तरफ़,alag / bacākar / ēk taraf,alag / bacākar / ēk taraf
aside (to the side),adverb,b2,,एक तरफ़ / किनारे / अलग,एक तरफ़ / किनारे / अलग,ēk taraf / kinārē / alag,ēk taraf / kinārē / alag
aspect (appearance),noun,b2,,पहलू (m) / रूप (m) / स्वरूप (m),पहलू (m) / रूप (m) / ज़ाहिरी शक्ल (f),pahalū (m) / rūp (m) / svarūp (m),pahalū (m) / rūp (m) / zāhirī śakl (f)
"aspect (side, facet of an issue)",noun,b2,,पहलू (m) / पक्ष (m) / कोण (m),पहलू (m) / रुख़ (m) / सिम्त (f),pahalū (m) / pakṣa (m) / kōṇa (m),pahalū (m) / ruk͟h (m) / simt (f)
assessment (evaluation),noun,b2,,मूल्यांकन (m) / आकलन (m) / जाँच (f),जायज़ा (m) / तख़मीना (m) / मूल्यांकन (m),mūlyāṁkan (m) / ākalan (m) / jām̐c (f),jāyazā (m) / tak͟hamīnā (m) / mūlyāṁkan (m)
"assessment (tax, fee)",noun,b2,,आकलन (m) / निर्धारण (m) / मूल्यांकन (m),आकलन (m) / निर्धारण (m) / तख़मीना (m),ākalan (m) / nirdhāraṇa (m) / mūlyāṁkan (m),ākalan (m) / nirdhāraṇa (m) / tak͟hamīnā (m)
"asset (advantage, positive attribute)",noun,b2,,ख़ूबी (f) / गुण (m) / विशेषता (f),ख़ूबी (f) / गुण (m) / विशेषता (f),k͟hūbī (f) / guṇa (m) / viśēṣatā (f),k͟hūbī (f) / guṇa (m) / viśēṣatā (f)
asset (financial property),noun,b2,,संपत्ति (f) / जायदाद (f) / परिसंपत्ति (f),संपत्ति (f) / जायदाद (f) / सरमाया (m) / अस्सासा (m),saṁpatti (f) / jāyadād (f) / parisaṁpatti (f),saṁpatti (f) / jāyadād (f) / saramāyā (m) / assāsā (m)
asset (resource),noun,b2,,संसाधन (m) / स्रोत (m) / संपत्ति (f),संसाधन (m) / स्रोत (m) / वसीला (m),saṁsādhan (m) / srōt (m) / saṁpatti (f),saṁsādhan (m) / srōt (m) / vasīlā (m)
"assistance (official aid, support)",noun,b2,,मदद (f) / सहायता (f) / सहयोग (m) / इमदाद (f),मदद (f) / सहायता (f) / इमदाद (f) / ताऊन (m),madad (f) / sahāyatā (f) / sahayōg (m) / imadād (f),madad (f) / sahāyatā (f) / imadād (f) / tāūn (m)
associated (organizational partner),adjective,b2,,संबंधित / सहयोगी / संबद्ध,संबंधित / सहयोगी / मुंसलिक / संबद्ध,saṁbaṁdhit / sahayōgī / saṁbaddh,saṁbaṁdhit / sahayōgī / muṁsalik / saṁbaddh
association (mental link),noun,b2,,संबंध (m) / जुड़ाव (m) / साहचर्य (m),संबंध (m) / जुड़ाव (m) / ताल्लुक़ (m) / राब्ता (m),saṁbaṁdh (m) / juṛāv (m) / sāhacary (m),saṁbaṁdh (m) / juṛāv (m) / tālluq (m) / rābtā (m)
association (organization),noun,b2,,संस्था (f) / संगठन (m) / संघ (m),संस्था (f) / संगठन (m) / अंजुमन (f) / इदारा (m),saṁsthā (f) / saṁgaṭhan (m) / saṁgh (m),saṁsthā (f) / saṁgaṭhan (m) / aṁjuman (f) / idārā (m)
assumption (a theory or guess),noun,b2,,अनुमान (m) / कल्पना (f) / परिकल्पना (f),अनुमान (m) / फ़र्ज़ (m) / क़ियास (m) / तसव्वुर (m),anumān (m) / kalpanā (f) / parikalpanā (f),anumān (m) / farz (m) / qiyās (m) / tasavvur (m)
assumption (taking up a duty or role),noun,b2,,पदभार ग्रहण (m) / कार्यभार ग्रहण (m) / दायित्व ग्रहण (m),पदभार ग्रहण (m) / ओहदा संभालना (m) / तसलीम (f) / क़बूलियत (f),padabhār grahaṇa (m) / kāryabhār grahaṇa (m) / dāyitv grahaṇa (m),padabhār grahaṇa (m) / ōhadā saṁbhālanā (m) / tasalīm (f) / qabūliyat (f)
astonishing,adjective,b2,,हैरान करने वाला / चकित करने वाला / विस्मयकारी / आश्चर्यजनक,हैरान करने वाला / ताज्जुबख़ेज़ / हैरतअंगेज़,hairān karanē vālā / cakit karanē vālā / vismayakārī / āścaryajanak,hairān karanē vālā / tājjubak͟hēz / hairataaṁgēz
"attachment (accessory, part)",noun,b2,,पुर्ज़ा (m) / सहायक उपकरण (m) / अनुलग्नक (m),पुर्ज़ा (m) / ज़मीमा (m) / मुल्हक़ा (m),purzā (m) / sahāyak upakaraṇa (m) / anulagnak (m),purzā (m) / zamīmā (m) / mulhaqā (m)
"attachment (email, file)",noun,b2,,अटैचमेंट (m) / संलग्नक (m) / नत्थी (f),अटैचमेंट (m) / मुल्हक़ा (m) / ज़मीमा (m),aṭaicamēṁṭa (m) / saṁlagnak (m) / natthī (f),aṭaicamēṁṭa (m) / mulhaqā (m) / zamīmā (m)
attachment (emotional bond),noun,b2,,लगाव (m) / मोह (m) / आसक्ति (f) / अनुराग (m),लगाव (m) / वाबस्तगी (f) / ताल्लुक़ (m),lagāv (m) / mōh (m) / āsakti (f) / anurāg (m),lagāv (m) / vābastagī (f) / tālluq (m)
attempt,noun,b2,,कोशिश (f) / प्रयास (m) / प्रयत्न (m),कोशिश (f) / सई (f) / इक़दाम (m),kōśiśa (f) / prayās (m) / prayatn (m),kōśiśa (f) / saī (f) / iqadām (m)
auction (event),noun,b2,,नीलामी (f),नीलामी (f) / बोली (f),nīlāmī (f),nīlāmī (f) / bōlī (f)
"audio (sound, medium)",adjective,b2,,ऑडियो / श्रव्य,ऑडियो / समाई,ôḍiyō / śravy,ôḍiyō / samāī
automatic (self-operating mechanism),adjective,b2,,ऑटोमैटिक / स्वचालित,ऑटोमैटिक / ख़ुदकार,ôṭōmaiṭik / svacālit,ôṭōmaiṭik / k͟hudakār
automatic (unconscious or involuntary),adjective,b2,,स्वचालित / अनैच्छिक / सहज,ख़ुदबख़ुद / ग़ैर-इरादी / सहज,svacālit / anaicchik / sahaj,k͟hudabak͟hud / ġair-irādī / sahaj
"automatically (by itself, naturally)",adverb,b2,,अपने आप / स्वतः / स्वचालित रूप से,अपने आप / ख़ुदबख़ुद / बिला-इरादा,apanē āp / svataḥ / svacālit rūp sē,apanē āp / k͟hudabak͟hud / bilā-irādā
"automatically (mechanically, systematically)",adverb,b2,,अपने-आप / ख़ुद-ब-ख़ुद / स्वचालित रूप से,अपने-आप / ख़ुद-ब-ख़ुद / बिला-इरादा,apanē-āp / k͟hud-b-k͟hud / svacālit rūp sē,apanē-āp / k͟hud-b-k͟hud / bilā-irādā
awareness,noun,b2,,जागरूकता (f) / चेतना (f) / बोध (m),शऊर (m) / आगाही (f) / इल्म (m) / वाक़फ़ियत (f),jāgarūkatā (f) / cētanā (f) / bōdh (m),śaūr (m) / āgāhī (f) / ilm (m) / vāqafiyat (f)
awkward (clumsy or difficult to handle),adjective,b2,,बेढंगा / अटपटा / असुविधाजनक,बेढंगा / अजीब / मुश्किल,bēḍhaṁgā / aṭapaṭā / asuvidhājanak,bēḍhaṁgā / ajīb / muśkil
awkward (socially uncomfortable),adjective,b2,,अटपटा / अजीब / असहज,अजीब / अटपटा / नाज़ुक,aṭapaṭā / ajīb / asahaj,ajīb / aṭapaṭā / nāzuk
bacteria,noun,b2,,बैक्टीरिया (m) / जीवाणु (m),बैक्टीरिया (m) / जरासीम (m),baikṭīriyā (m) / jīvāṇu (m),baikṭīriyā (m) / jarāsīm (m)
"badge (official insignia, emblem)",noun,b2,,बैज (m) / बिल्ला (m) / प्रतीक-चिह्न (m),बैज (m) / बिल्ला (m) / निशान (m) / तमग़ा (m),baij (m) / billā (m) / pratīk-cihn (m),baij (m) / billā (m) / niśān (m) / tamaġā (m)
"balanced (fair, impartial)",adjective,b2,,संतुलित / निष्पक्ष / न्यायसंगत,मुतवाज़िन / निष्पक्ष / इंसाफ़-पसंद,saṁtulit / niṣpakṣa / nyāyasaṁgat,mutavāzin / niṣpakṣa / iṁsāf-pasaṁd
ballet,noun,b2,,बैले (m) / नृत्य-नाटिका (f),बैले (m) / रक़्स (m),bailē (m) / nr̥ty-nāṭikā (f),bailē (m) / raqs (m)
balloon (aircraft),noun,b2,,गुब्बारा (m) / वायुयान (m),गुब्बारा (m) / हवाई गुब्बारा (m),gubbārā (m) / vāyuyān (m),gubbārā (m) / havāī gubbārā (m)
"balloon (toy, party item)",noun,b2,,गुब्बारा (m),गुब्बारा (m),gubbārā (m),gubbārā (m)
barely (scarcely),adverb,b2,,मुश्किल से / बमुश्किल / शायद ही,मुश्क़िल से / बमुश्क़िल / शायद ही,muśkil sē / bamuśkil / śāyad hī,muśqil sē / bamuśqil / śāyad hī
barely (with difficulty),adverb,b2,,मुश्किल से / बड़ी मुश्किल से / कठिनाई से,मुश्क़िल से / बड़ी मुश्क़िल से / बमुश्क़िल,muśkil sē / baṛī muśkil sē / kaṭhināī sē,muśqil sē / baṛī muśqil sē / bamuśqil
"bargain (good deal, purchase)",noun,b2,,सौदा (m) / मोलभाव (m) / सस्ता सौदा (m),सौदा (m) / मोलभाव (m) / सस्ता सौदा (m) / मुआहिदा (m),saudā (m) / mōlabhāv (m) / sastā saudā (m),saudā (m) / mōlabhāv (m) / sastā saudā (m) / muāhidā (m)
barrier (obstacle or hindrance),noun,b2,,बाधा (f) / रुकावट (f) / अड़चन (f) / अवरोध (m),रुकावट (f) / बाधा (f) / अड़चन (f) / हायल (m),bādhā (f) / rukāvaṭa (f) / aṛacan (f) / avarōdh (m),rukāvaṭa (f) / bādhā (f) / aṛacan (f) / hāyal (m)
barrier (physical structure),noun,b2,,बैरियर (m) / रोक (f) / अवरोधक (m) / दीवार (f),बैरियर (m) / रोक (f) / रुकावट (f) / आड़ (f),bairiyar (m) / rōk (f) / avarōdhak (m) / dīvār (f),bairiyar (m) / rōk (f) / rukāvaṭa (f) / āṛa (f)
basement,noun,b2,,बेसमेंट (m) / तलघर (m) / तहख़ाना (m),बेसमेंट (m) / तलघर (m) / तहख़ाना (m),bēsamēṁṭa (m) / talaghar (m) / tahak͟hānā (m),bēsamēṁṭa (m) / talaghar (m) / tahak͟hānā (m)
"basically (in essence, fundamentally)",adverb,b2,,असल में / मूल रूप से / बुनियादी तौर पर,असल में / बुनियादी तौर पर / दरअस्ल,asal mēṁ / mūl rūp sē / buniyādī taur par,asal mēṁ / buniyādī taur par / daraasl
"basically (to summarize, put simply)",adverb,b2,,संक्षेप में / सीधे शब्दों में / मूलतः,मुख़्तसरन / सीधे लफ़्ज़ों में / दरहक़ीक़त,saṁkṣēp mēṁ / sīdhē śabdōṁ mēṁ / mūlataḥ,muk͟htasaran / sīdhē lafzōṁ mēṁ / darahaqīqat
basket,noun,b2,,टोकरी (f) / डलिया (f),टोकरी (f) / डलिया (f) / ज़म्बील (f),ṭōkarī (f) / ḍaliyā (f),ṭōkarī (f) / ḍaliyā (f) / zambīl (f)
bat (animal),noun,b2,,चमगादड़ (m),चमगादड़ (m) / शब-पर (m),camagādaṛa (m),camagādaṛa (m) / śab-par (m)
bat (sports equipment),noun,b2,,बैट (m) / बल्ला (m),बैट (m) / बल्ला (m),baiṭa (m) / ballā (m),baiṭa (m) / ballā (m)
beat (musical rhythm),noun,b2,,ताल (f) / लय (f) / धुन (f),ताल (f) / लय (f) / धुन (f),tāl (f) / lay (f) / dhun (f),tāl (f) / lay (f) / dhun (f)
beat (pulse),noun,b2,,धड़कन (f) / नब्ज़ (f),धड़कन (f) / नब्ज़ (f),dhaṛakan (f) / nabz (f),dhaṛakan (f) / nabz (f)
"beat (rhythm, pulse)",noun,b2,,धड़कन (f) / ताल (f) / लय (f),धड़कन (f) / ताल (f) / लय (f),dhaṛakan (f) / tāl (f) / lay (f),dhaṛakan (f) / tāl (f) / lay (f)
"beat (route, area)",noun,b2,,गश्त (f) / इलाक़ा (m) / क्षेत्र (m),गश्त (f) / इलाक़ा (m) / हलक़ा (m),gaśt (f) / ilāqā (m) / kṣētr (m),gaśt (f) / ilāqā (m) / halaqā (m)
bedspread,noun,b2,,बेडशीट (f) / चादर (f) / पलंगपोश (m),बेडशीट (f) / चादर (f) / पलंगपोश (m),bēḍaśīṭa (f) / cādar (f) / palaṁgapōśa (m),bēḍaśīṭa (f) / cādar (f) / palaṁgapōśa (m)
"being (creature, entity)",noun,b2,,प्राणी (m) / जीव (m) / हस्ती (f),प्राणी (m) / जीव (m) / मख़लूक़ (f) / हस्ती (f),prāṇī (m) / jīv (m) / hastī (f),prāṇī (m) / jīv (m) / mak͟halūq (f) / hastī (f)
"being (existence, state)",noun,b2,,अस्तित्व (m) / वजूद (m) / होना (m),वजूद (m) / अस्तित्व (m) / हस्ती (f),astitv (m) / vajūd (m) / hōnā (m),vajūd (m) / astitv (m) / hastī (f)
"beneficial (for health, welfare)",adjective,b2,,फ़ायदेमंद / लाभदायक / हितकारी,फ़ायदेमंद / मुफ़ीद / नफ़ा-बख़्श,fāyadēmaṁd / lābhadāyak / hitakārī,fāyadēmaṁd / mufīd / nafā-bak͟hśa
"bent (corrupt, dishonest)",adjective,b2,,बेईमान / भ्रष्ट / टेढ़ा,बेईमान / बद-दियानत / भ्रष्ट,bēīmān / bhraṣṭa / ṭēṛhā,bēīmān / bad-diyānat / bhraṣṭa
"bent (determined, intent)",adjective,b2,,दृढ़ / संकल्पित / कटिबद्ध,मुस्तइद / मुसम्मम / अज़्म-ए-मुस्तहकम,dr̥ṛh / saṁkalpit / kaṭibaddh,must:id / musammam / azm-ē-mustahakam
beside,preposition,b2,,के पास / के बगल में / के निकट,के पास / के पहलू में / के क़रीब,kē pās / kē bagal mēṁ / kē nikaṭa,kē pās / kē pahalū mēṁ / kē qarīb
"besides (except for, other than)",adverb,b2,,के सिवा / के अलावा / को छोड़कर,के सिवा / के अलावा / के बग़ैर,kē sivā / kē alāvā / kō chōṛakar,kē sivā / kē alāvā / kē baġair
besides (furthermore),adverb,b2,,इसके अतिरिक्त / इसके अलावा / और तो और,इसके अलावा / इसके अतिरिक्त / मज़ीद बराँ,isakē atirikt / isakē alāvā / aur tō aur,isakē alāvā / isakē atirikt / mazīd barām̐
besides (in addition to),preposition,b2,,के अतिरिक्त / के अलावा / के साथ-साथ,के अलावा / के अतिरिक्त / के साथ-साथ,kē atirikt / kē alāvā / kē sāth-sāth,kē alāvā / kē atirikt / kē sāth-sāth
"besides (moreover, in addition)",adverb,b2,,इसके अलावा / और तो और / इसके अतिरिक्त,इसके अलावा / मज़ीद ये कि / इसके अतिरिक्त,isakē alāvā / aur tō aur / isakē atirikt,isakē alāvā / mazīd yē ki / isakē atirikt
bet,noun,b2,,शर्त (f) / बाज़ी (f),शर्त (f) / बाज़ी (f),śart (f) / bāzī (f),śart (f) / bāzī (f)
beyond (after a specific time),preposition,b2,,के बाद / के उपरांत,के बाद / के बअ'द,kē bād / kē uparāṁt,kē bād / kē ba'd
beyond (exceeding a limit or ability),preposition,b2,,से परे / से बाहर / की सीमा से बाहर,से परे / से बाहर / की हद से बाहर,sē parē / sē bāhar / kī sīmā sē bāhar,sē parē / sē bāhar / kī had sē bāhar
beyond (exceeding limits),adverb,b2,,से परे / हद से ज़्यादा / अत्यधिक,से परे / हद से ज़्यादा / बेइंतिहा,sē parē / had sē zyādā / atyadhik,sē parē / had sē zyādā / bēiṁtihā
