english_word,word_class,tamil_translation,transliteration,verb_transitivity,level
to bid (a greeting or farewell),verb,வாழ்த்து / விடைபெறு / கூறு,vāḻttu / viṭaipeṟu / kūṟu,transitive,b2
to bid (in an auction or tender),verb,ஏலம் விடு / விலை கூறு / ஒப்பந்தப்புள்ளி அளி,ēlam viṭu / vilai kūṟu / oppantappuḷḷi aḷi,transitive,b2
to bill (to invoice),verb,பில் போடு / பட்டியல் அனுப்பு / விலைப்பட்டியல் அனுப்பு,pil pōṭu / paṭṭiyal aṉuppu / vilaippaṭṭiyal aṉuppu,transitive,b2
to bill (to promote as),verb,விளம்பரப்படுத்து / முன்னிலைப்படுத்து / அறிவி,viḷamparappaṭuttu / muṉṉilaippaṭuttu / aṟivi,transitive,b2
to blame (harshly or denounce),verb,குற்றம் சாட்டு / கண்டி / பழி சுமத்து,kuṟṟam cāṭṭu / kaṇṭi / paḻi cumattu,transitive,b2
"to blame, denounce",verb,குற்றம் சாட்டு / கண்டி / பழி கூறு,kuṟṟam cāṭṭu / kaṇṭi / paḻi kūṟu,transitive,b2
"to boost (to encourage, support)",verb,ஊக்கப்படுத்து / ஆதரவளி / ஊக்குவி,ūkkappaṭuttu / ātaravaḷi / ūkkuvi,transitive,b2
to boost (to increase),verb,அதிகரி / உயர்த்து / பெருக்கு,atikari / uyarttu / perukku,transitive,b2
to border (add a decorative edge),verb,ஓரமிடு / விளிம்பிடு / அலங்கார விளிம்பிடு,ōramiṭu / viḷimpiṭu / alaṅkāra viḷimpiṭu,transitive,b2
to border (be adjacent to),verb,எல்லையாக அமை / ஒட்டியிரு / அண்மையிலிரு,ellaiyāka amai / oṭṭiyiru / aṇmaiyiliru,intransitive,b2
to border (verge on),verb,நெருங்கு / விளிம்பிலிரு / கிட்டத்தட்ட இரு,neruṅku / viḷimpiliru / kiṭṭattaṭṭa iru,intransitive,b2
"to brand (a product, company)",verb,பிராண்ட் செய் / வணிகக்குறி இடு / முத்திரை பதி,pirāṇṭ cey / vaṇikakkuṟi iṭu / muttirai pati,transitive,b2
to brand (to label negatively),verb,முத்திரை குத்து / பழி சுமத்து / இழிவுபடுத்து,muttirai kuttu / paḻi cumattu / iḻivupaṭuttu,transitive,b2
to broadcast (media transmission),verb,ஒளிபரப்பு / ஒலிபரப்பு / பரப்பு,oḷiparappu / oliparappu / parappu,transitive,b2
to broadcast (spread information),noun,ஒளிபரப்பு / அறிவிப்பு / செய்தி,oḷiparappu / aṟivippu / ceyti,,b2
to broadcast (to scatter seeds),verb,தூவு / விதை / பரப்பு,tūvu / vitai / parappu,transitive,b2
to calculate (to estimate or gauge),verb,கணக்கிடு / மதிப்பிடு / கணி,kaṇakkiṭu / matippiṭu / kaṇi,transitive,b2
to cancel,verb,ரத்து செய் / நீக்கு / இரத்து செய்,rattu cey / nīkku / irattu cey,transitive,b2
to capture (image or data),verb,பதிவு செய் / பிடி / சேகரி,pativu cey / piṭi / cēkari,transitive,b2
to capture (person or location),verb,பிடி / கைப்பற்று / சிறைபிடி,piṭi / kaippaṟṟu / ciṟaipiṭi,transitive,b2
to cast (a fishing line or net),verb,வீசு / எறி,vīcu / eṟi,transitive,b2
to cast (a shadow or light),verb,வீசு / பரப்பு / ஏற்படுத்து,vīcu / parappu / ēṟpaṭuttu,transitive,b2
to cast (a vote),verb,வாக்களி / வாக்குச் செலுத்து,vākkaḷi / vākkuc celuttu,transitive,b2
to cast (an actor in a role),verb,தேர்ந்தெடு / தேர்வுசெய் / நடிக்கவை,tērnteṭu / tērvucey / naṭikkavai,transitive,b2
to cast (molten metal or a sculpture),verb,வார்ப்படம் செய் / வார்ப்பில் உருவாக்கு / வார்த்தெடு,vārppaṭam cey / vārppil uruvākku / vārtteṭu,transitive,b2
to cave (in) (collapse),noun,இடிந்து விழு / சரிந்து விழு / குடைவிழு,iṭintu viḻu / carintu viḻu / kuṭaiviḻu,intransitive,b2
"to cave (in) (yield, surrender)",noun,பணி / விட்டுக்கொடு / அடிபணி,paṇi / viṭṭukkoṭu / aṭipaṇi,intransitive,b2
to cave in (collapse),verb,இடிந்து விழு / சரிந்து விழு / குடைவிழு,iṭintu viḻu / carintu viḻu / kuṭaiviḻu,intransitive,b2
"to cave in (yield, surrender)",verb,பணி / விட்டுக்கொடு / அடிபணி,paṇi / viṭṭukkoṭu / aṭipaṇi,intransitive,b2
to chain (to link sequentially),verb,சங்கிலியாய் இணை / தொடர்ச்சியாய் இணை / பிணை,caṅkiliyāy iṇai / toṭarcciyāy iṇai / piṇai,transitive,b2
to chair,verb,தலைமை தாங்கு / தலைமை வகி / தலைமை செய்,talaimai tāṅku / talaimai vaki / talaimai cey,,b2
"to challenge (to question a claim, decision)",verb,கேள்வி கேள் / சவால் விடு / ஆட்சேபி,kēḷvi kēḷ / cavāl viṭu / āṭcēpi,transitive,b2
"to chart (a course, strategy)",verb,திட்டமிடு / வழி வகு / வரைபடம் வரை,tiṭṭamiṭu / vaḻi vaku / varaipaṭam varai,transitive,b2
"to chart (data, statistics)",verb,வரைபடம் வரை / அட்டவணைப்படுத்து / புள்ளிவிவரப்படுத்து,varaipaṭam varai / aṭṭavaṇaippaṭuttu / puḷḷivivarappaṭuttu,transitive,b2
to chase (drive away),verb,துரத்து / விரட்டு / ஓட்டு,turattu / viraṭṭu / ōṭṭu,transitive,b2
to chase (pursue),verb,துரத்து / பின்தொடர் / தேடிச்செல்,turattu / piṉtoṭar / tēṭiccel,transitive,b2
to cheer (to make happy; lift spirits),verb,உற்சாகப்படுத்து / மகிழ்வி / ஊக்கப்படுத்து,uṟcākappaṭuttu / makiḻvi / ūkkappaṭuttu,transitive,b2
to chop (vegetables or food),verb,நறுக்கு / வெட்டு / சிறு துண்டுகளாக்கு,naṟukku / veṭṭu / ciṟu tuṇṭukaḷākku,transitive,b2
to chop (wood or large items),verb,வெட்டு / பிள / துண்டாக்கு,veṭṭu / piḷa / tuṇṭākku,transitive,b2
to cite,verb,மேற்கோள் காட்டு / குறிப்பிடு / சுட்டிக்காட்டு,mēṟkōḷ kāṭṭu / kuṟippiṭu / cuṭṭikkāṭṭu,transitive,b2
to cite (summon to court),verb,நீதிமன்றத்திற்கு அழை / சம்மன் அனுப்பு / வரவழை,nītimaṉṟattiṟku aḻai / cammaṉ aṉuppu / varavaḻai,transitive,b2
to clarify,verb,தெளிவுபடுத்து / விளக்கு / தெளிவாக்கு,teḷivupaṭuttu / viḷakku / teḷivākku,transitive,b2
to classify,verb,வகைப்படுத்து / பிரி / பகு,vakaippaṭuttu / piri / paku,transitive,b2
"to clear (to approve, pass)",verb,அனுமதி / ஒப்புதல் அளி / அங்கீகரி,aṉumati / opputal aḷi / aṅkīkari,transitive,b2
"to collapse (from exhaustion, illness)",verb,மயங்கி விழு / சரிந்து விழு / சோர்வடை,mayaṅki viḻu / carintu viḻu / cōrvaṭai,intransitive,b2
"to collapse (negotiations, system)",verb,சரி / தோல்வியடை / முறிந்துபோ,cari / tōlviyaṭai / muṟintupō,intransitive,b2
to comfort (to calm general worry or distress),verb,ஆறுதல்படுத்து / தேற்று / அமைதிப்படுத்து,āṟutalpaṭuttu / tēṟṟu / amaitippaṭuttu,transitive,b2
"to comfort (to console, give solace)",verb,ஆறுதல் படுத்து / தேற்று,āṟutal paṭuttu / tēṟṟu,transitive,b2
to command (to be in charge of),verb,தலைமை தாங்கு / ஆளு,talaimai tāṅku / āḷu,transitive,b2
"to command (to demand attention, respect)",verb,கவனம் ஈர்க்க / கவர்,kavaṉam īrkka / kavar,transitive,b2
to command (to order),verb,கட்டளையிடு / ஆணை இடு,kaṭṭaḷaiyiṭu / āṇai iṭu,transitive,b2
"to commission (activate facility, system)",verb,செயல்படுத்து / இயக்கி வை,ceyalpaṭuttu / iyakki vai,transitive,b2
"to commission (order, authorize work)",verb,பணி நியமி / ஆணையிடு,paṇi niyami / āṇaiyiṭu,transitive,b2
to compose (music or writing),verb,இயற்று / எழுது,iyaṟṟu / eḻutu,transitive,b2
to compose (oneself),verb,அமைதிப்படுத்து / தன்னை ஆசுவாசப்படுத்து,amaitippaṭuttu / taṉṉai ācuvācappaṭuttu,transitive,b2
to compose (writing),verb,எழுது / இயற்று / உருவாக்கு,eḻutu / iyaṟṟu / uruvākku,transitive,b2
to comprise,verb,அடங்கு / கொண்டிரு,aṭaṅku / koṇṭiru,intransitive,b2
to concern (to cause worry),verb,கவலைப்படுத்து / வருத்தப்படுத்து,kavalaippaṭuttu / varuttappaṭuttu,transitive,b2
"to concern (to relate to, be relevant)",verb,சம்பந்தப்படு / பொருந்து,campantappaṭu / poruntu,transitive,b2
"to conduct (an activity, meeting, survey)",verb,நடத்து / மேற்கொள்,naṭattu / mēṟkoḷ,transitive,b2
"to conduct (an orchestra, music)",verb,நடத்து / வழிநடத்து,naṭattu / vaḻinaṭattu,transitive,b2
"to conduct (electricity, heat)",verb,கடத்து / செலுத்து,kaṭattu / celuttu,transitive,b2
to conduct (oneself),verb,நடந்துகொள்,naṭantukoḷ,transitive,b2
to confess,verb,ஒப்புக்கொள் / ஒத்துக்கொள்,oppukkoḷ / ottukkoḷ,intransitive,b2
"to conflict (to clash, be incompatible)",verb,முரண்படு / மோதிக் கொள்,muraṇpaṭu / mōtik koḷ,intransitive,b2
"to conflict (to struggle, be opposed)",verb,போராடு / எதிர்த்து நில்,pōrāṭu / etirttu nil,intransitive,b2
to construct (formally),verb,கட்டு / நிர்மாணி,kaṭṭu / nirmāṇi,transitive,b2
"to construct (to compose, structure)",verb,உருவாக்கு / அமை / வடிவமை,uruvākku / amai / vaṭivamai,transitive,b2
"to consult (a reference, formally)",verb,பார் / ஆராய்,pār / ārāy,transitive,b2
"to consult (to refer to a book, source)",verb,பார் / சரிபார்,pār / caripār,transitive,b2
to consult (to seek professional advice),verb,ஆலோசனை கேள் / கலந்தாலோசி,ālōcaṉai kēḷ / kalantālōci,transitive,b2
to contest (challenge a result or claim),verb,சவால் விடு / மறுப்பு தெரிவி / ஆட்சேபி,cavāl viṭu / maṟuppu terivi / āṭcēpi,transitive,b2
to contest (challenge legal decision),verb,சவால் விடு / ஆட்சேபி / மறுப்புத் தெரிவி,cavāl viṭu / āṭcēpi / maṟupput terivi,transitive,b2
"to contest (participate in election, competition)",verb,போட்டியிடு / பங்குகொள்,pōṭṭiyiṭu / paṅkukoḷ,intransitive,b2
to contract (a disease),verb,நோய் தொற்றிக்கொள் / நோய்வாய்ப்படு,nōy toṟṟikkoḷ / nōyvāyppaṭu,transitive,b2
to contract (enter an agreement),verb,ஒப்பந்தம் செய் / உடன்படிக்கை செய்,oppantam cey / uṭaṉpaṭikkai cey,transitive,b2
"to contract (to shrink, become smaller)",verb,சுருங்கு / குறுகு,curuṅku / kuṟuku,intransitive,b2
"to contribute (to a result, idea)",verb,பங்களி / உதவு / துணை செய்,paṅkaḷi / utavu / tuṇai cey,intransitive,b2
to convert (change form or function),verb,மாற்று / உருமாற்று,māṟṟu / urumāṟṟu,transitive,b2
to convert (change religion),verb,மதம் மாற்று,matam māṟṟu,transitive,b2
to convey (an idea or meaning),verb,தெரிவி / உணர்த்து / எடுத்துரை,terivi / uṇarttu / eṭutturai,transitive,b2
"to convey (meaning, feeling)",verb,தெரிவி / உணர்த்து / எடுத்துரை,terivi / uṇarttu / eṭutturai,transitive,b2
to convey (transport physical goods),verb,கொண்டு செல் / கடத்து / அனுப்பு,koṇṭu cel / kaṭattu / aṉuppu,transitive,b2
to cope,verb,சமாளி / எதிர்கொள் / கையாள,camāḷi / etirkoḷ / kaiyāḷa,intransitive,b2
to crack (intransitive),verb,விரிசல் விடு / வெடி / பிளவுபடு,virical viṭu / veṭi / piḷavupaṭu,intransitive,b2
to crack (physical object),verb,உடை / பிள / விரிசல் ஏற்படுத்து,uṭai / piḷa / virical ēṟpaṭuttu,,b2
"to crack (solve, figure out)",verb,கண்டுபிடி / விடுவி / புரிந்துகொள்,kaṇṭupiṭi / viṭuvi / purintukoḷ,transitive,b2
"to crash (system failure, computing)",verb,செயலிழ / முடங்கு / பழுதாகு,ceyaliḻa / muṭaṅku / paḻutāku,intransitive,b2
to crash (to attend uninvited),verb,அத்துமீறி நுழை / அழைக்கப்படாமல் செல்,attumīṟi nuḻai / aḻaikkappaṭāmal cel,transitive,b2
"to credit (attribute, recognize)",verb,பாராட்டு / அங்கீகரி / பெருமை சேர்,pārāṭṭu / aṅkīkari / perumai cēr,transitive,b2
"to credit (finance, deposit)",verb,வரவு வை / வரவு செய்,varavu vai / varavu cey,transitive,b2
"to criticize (formally, review)",verb,விமர்சி / திறனாய்வு செய்,vimarci / tiṟaṉāyvu cey,transitive,b2
to cruise (to succeed easily),verb,எளிதாக வெற்றி பெறு / சிரமமின்றி செல்,eḷitāka veṟṟi peṟu / ciramamiṉṟi cel,intransitive,b2
"to cruise (to travel for leisure, usually by ship)",verb,உல்லாசப் பயணம் செய் / கப்பல் பயணம் செய்,ullācap payaṇam cey / kappal payaṇam cey,intransitive,b2
"to cruise (to travel smoothly, usually by vehicle)",verb,சீராகச் செல் / மிதமாகச் செல்,cīrākac cel / mitamākac cel,intransitive,b2
to cure (preserve food),verb,பதப்படுத்து,patappaṭuttu,transitive,b2
"to cure (preserve, process)",verb,பதப்படுத்து,patappaṭuttu,transitive,b2
to curve (intransitive),verb,வளை / திரும்பு,vaḷai / tirumpu,intransitive,b2
"to curve (path, trajectory)",verb,வளை / திரும்பு,vaḷai / tirumpu,intransitive,b2
to curve (to bend something),verb,வளை / வளைத்திடு,vaḷai / vaḷaittiṭu,transitive,b2
to curve (transitive),verb,வளை / வளைத்திடு,vaḷai / vaḷaittiṭu,transitive,b2
to dare (challenge someone),verb,சவால் விடு,cavāl viṭu,transitive,b2
to date (determine age),verb,காலம் நிர்ணயி / வயது கணி,kālam nirṇayi / vayatu kaṇi,transitive,b2
to date (determine age/origin),verb,காலம் நிர்ணயி / தோற்றத்தை நிர்ணயி,kālam nirṇayi / tōṟṟattai nirṇayi,transitive,b2
to date (romantically),verb,டேட்டிங் செய்,ṭēṭṭiṅ cey,intransitive,b2
to debate (formally),verb,விவாதி,vivāti,intransitive,b2
to declare (goods or income),verb,அறிவி / தெரிவி,aṟivi / terivi,transitive,b2
"to decline (decrease, deteriorate)",verb,குறை / சீரழி / தளர்,kuṟai / cīraḻi / taḷar,intransitive,b2
to decline (refuse offer),verb,மறு / நிராகரி,maṟu / nirākari,transitive,b2
to decrease (get smaller),verb,குறை / சுருங்கு,kuṟai / curuṅku,intransitive,b2
to decrease (reduce),verb,குறை / குறைத்திடு,kuṟai / kuṟaittiṭu,transitive,b2
to defeat (formally),verb,தோற்கடி / வெல்,tōṟkaṭi / vel,transitive,b2
"to defend (to guard, protect)",verb,பாதுகா / கா,pātukā / kā,transitive,b2
"to defend (to justify, support logically)",verb,நியாயப்படுத்து / ஆதரி,niyāyappaṭuttu / ātari,transitive,b2
to delay (postpone),verb,தாமதப்படுத்து / தள்ளிப்போடு,tāmatappaṭuttu / taḷḷippōṭu,transitive,b2
to delay (run late),verb,தாமதமாக்கு / காலதாமதம் செய்,tāmatamākku / kālatāmatam cey,intransitive,b2
"to delay (to be late, linger)",verb,தாமதமாக்கு / காலதாமதம் செய் / தங்கு,tāmatamākku / kālatāmatam cey / taṅku,intransitive,b2
to delay (to postpone an action),verb,தாமதப்படுத்து / தள்ளிப்போடு,tāmatappaṭuttu / taḷḷippōṭu,transitive,b2
to delete (erase content),verb,அழி / நீக்கு,aḻi / nīkku,transitive,b2
"to delete (remove item, account)",verb,நீக்கு / அழி,nīkku / aḻi,transitive,b2
to delight (in something),verb,மகிழ் / ஆனந்தப்படு,makiḻ / āṉantappaṭu,intransitive,b2
to delight (someone),verb,மகிழ்வி / ஆனந்தப்படுத்து,makiḻvi / āṉantappaṭuttu,transitive,b2
"to deliver (a baby, assist in birth)",verb,பிரசவம் பார் / குழந்தை பிறக்க உதவு,piracavam pār / kuḻantai piṟakka utavu,transitive,b2
"to deliver (a speech, lecture)",verb,பேசு / உரை நிகழ்த்து / சொற்பொழிவு ஆற்று,pēcu / urai nikaḻttu / coṟpoḻivu āṟṟu,transitive,b2
to demand,verb,கோரு / வலியுறுத்து / கேள்,kōru / valiyuṟuttu / kēḷ,transitive,b2
to demand (insistently claim),verb,வலியுறுத்து / கோரு,valiyuṟuttu / kōru,transitive,b2
to demand (to require),verb,தேவைப்படு / வேண்டு,tēvaippaṭu / vēṇṭu,transitive,b2
to demonstrate (how to use),verb,செய்து காட்டு / விளக்கு,ceytu kāṭṭu / viḷakku,transitive,b2
"to demonstrate (technical, formal)",verb,நிரூபி / எடுத்துக்காட்டு,nirūpi / eṭuttukkāṭṭu,transitive,b2
to demonstrate (to protest),verb,ஆர்ப்பாட்டம் செய் / போராடு,ārppāṭṭam cey / pōrāṭu,intransitive,b2
to demonstrate (to prove),verb,நிரூபி / மெய்ப்பி,nirūpi / meyppi,transitive,b2
to deny (a claim or truth),verb,மறு / மறுப்புத் தெரிவி,maṟu / maṟupput terivi,transitive,b2
to deny (to grant access or a request),verb,மறு / நிராகரி,maṟu / nirākari,transitive,b2
to depart (from a plan or path),verb,விலகு / மாறுபடு,vilaku / māṟupaṭu,intransitive,b2
to depart (to die),verb,இற / காலமாகு,iṟa / kālamāku,intransitive,b2
to derive (a conclusion),verb,முடிவுக்கு வா / ஊகி,muṭivukku vā / ūki,transitive,b2
"to derive (a formula, conclusion)",verb,பெறு / வருவி,peṟu / varuvi,transitive,b2
"to derive (benefit, pleasure)",verb,பெறு / அடை,peṟu / aṭai,transitive,b2
"to derive (from a source, origin)",verb,பெறு / வருவி,peṟu / varuvi,transitive,b2
"to desert (military service, duty)",verb,தப்பி ஓடு / கடமையைத் துற,tappi ōṭu / kaṭamaiyait tuṟa,intransitive,b2
to deserve,verb,தகுதி பெறு / உரிமையுடையவனாய் இரு,takuti peṟu / urimaiyuṭaiyavaṉāy iru,intransitive,b2
"to desire (to lust, covet)",verb,ஆசைப்படு / பேராசைப்படு,ācaippaṭu / pērācaippaṭu,transitive,b2
to detail (to assign a duty),verb,பணி நியமி / பொறுப்பு அளி,paṇi niyami / poṟuppu aḷi,transitive,b2
to detail (to describe thoroughly),verb,விவரி / விரிவாகச் சொல்,vivari / virivākac col,transitive,b2
"to detect (a fault, object, crime)",verb,கண்டுபிடி / கண்டறி,kaṇṭupiṭi / kaṇṭaṟi,transitive,b2
to detect (a feeling or nuance),verb,உணர் / நுட்பமாகக் கண்டறி,uṇar / nuṭpamākak kaṇṭaṟi,transitive,b2
to determine (to ascertain facts or calculate a value),verb,தீர்மானி / கண்டறி / கணக்கிடு,tīrmāṉi / kaṇṭaṟi / kaṇakkiṭu,transitive,b2
to devote (time or effort),verb,ஒதுக்கு / அர்ப்பணி / செலுத்து,otukku / arppaṇi / celuttu,transitive,b2
to die of starvation,verb,பட்டினியால் செத்துப்போ / பட்டினியால் மடி,paṭṭiṉiyāl cettuppō / paṭṭiṉiyāl maṭi,intransitive,b2
to differ (to be dissimilar),verb,வேறுபடு / மாறுபடு,vēṟupaṭu / māṟupaṭu,intransitive,b2
to differ (to disagree),verb,மாறுபடு / கருத்து வேறுபடு,māṟupaṭu / karuttu vēṟupaṭu,intransitive,b2
to dig (for information),verb,துருவி ஆராய் / தகவல்களைத் தேடு,turuvi ārāy / takavalkaḷait tēṭu,transitive,b2
to disappoint (someone or something),verb,ஏமாற்று / நம்பிக்கை இழக்கச் செய்,ēmāṟṟu / nampikkai iḻakkac cey,transitive,b2
"to discount (dismiss an idea, claim)",verb,நிராகரி / புறக்கணி / அலட்சியப்படுத்து,nirākari / puṟakkaṇi / alaṭciyappaṭuttu,transitive,b2
to discount (price reduction),verb,தள்ளுபடி செய் / விலை குறை,taḷḷupaṭi cey / vilai kuṟai,transitive,b2
to discourage (by deterring an action),verb,ஊக்கமிழக்கச் செய் / தடு,ūkkamiḻakkac cey / taṭu,transitive,b2
to dismiss (a court case or a formal plea),verb,தள்ளுபடி செய் / நிராகரி,taḷḷupaṭi cey / nirākari,transitive,b2
to dismiss (a meeting or class),verb,கலை / முடித்து வை,kalai / muṭittu vai,transitive,b2
to dismiss (a meeting),verb,கலை / முடித்து வை,kalai / muṭittu vai,transitive,b2
to dismiss (an idea or feeling),verb,புறக்கணி / நிராகரி / தள்ளிவிடு,puṟakkaṇi / nirākari / taḷḷiviṭu,transitive,b2
to display (emotion or quality),verb,வெளிப்படுத்து / காட்டு,veḷippaṭuttu / kāṭṭu,transitive,b2
"to distinguish (to achieve recognition, excellence)",verb,சிறப்படை / புகழடை / தனித்து நில்,ciṟappaṭai / pukaḻaṭai / taṉittu nil,,b2
"to distract (amuse, divert mind from worry)",verb,மனம் மாற்று / கவனத்தைத் திருப்பு,maṉam māṟṟu / kavaṉattait tiruppu,transitive,b2
"to distract (divert focus, attention)",verb,கவனத்தைச் சிதை / கவனத்தைத் திருப்பு,kavaṉattaic citai / kavaṉattait tiruppu,transitive,b2
to distribute (formally),verb,விநியோகி / பங்கிடு / பரப்பு,viniyōki / paṅkiṭu / parappu,transitive,b2
to disturb (causing distress or worry),verb,தொந்தரவு செய் / கவலைப்படுத்து,tontaravu cey / kavalaippaṭuttu,transitive,b2
"to disturb (interrupting focus, causing a nuisance)",verb,தொந்தரவு செய் / இடையூறு செய்,tontaravu cey / iṭaiyūṟu cey,transitive,b2
to dive (rapid descent),verb,பாய் / குதி,pāy / kuti,intransitive,b2
"to divorce (formally, legally)",verb,விவாகரத்து செய் / மணவிலக்கு செய்,vivākarattu cey / maṇavilakku cey,transitive,b2
to document,verb,ஆவணப்படுத்து / பதிவு செய்,āvaṇappaṭuttu / pativu cey,transitive,b2
"to dominate (be prominent, tower over)",verb,மேலோங்கு / ஓங்கி நில்,mēlōṅku / ōṅki nil,intransitive,b2
"to dominate (control, influence)",verb,ஆதிக்கம் செலுத்து / கட்டுப்படுத்து,ātikkam celuttu / kaṭṭuppaṭuttu,transitive,b2
"to draft (a document, plan)",verb,வரைவு செய் / எழுது / உருவாக்கு,varaivu cey / eḻutu / uruvākku,transitive,b2
"to draft (select for a team, military)",verb,தேர்வு செய் / தேர்ந்தெடு / சேர்ப்பி,tērvu cey / tērnteṭu / cērppi,transitive,b2
to drag (physically pull),verb,இழு,iḻu,transitive,b2
"to drag (process, time)",verb,நீளு / தாமதப்படு,nīḷu / tāmatappaṭu,intransitive,b2
"to dump (a person, relationship)",verb,கைவிடு / உறவைத் துண்டி,kaiviṭu / uṟavait tuṇṭi,transitive,b2
"to edit (formally, to revise content)",verb,திருத்து / எடிட் செய் / செப்பனிடு,tiruttu / eṭiṭ cey / ceppaṉiṭu,transitive,b2
to edit (to revise content),verb,திருத்து / எடிட் செய் / செப்பனிடு,tiruttu / eṭiṭ cey / ceppaṉiṭu,transitive,b2
to elect,verb,தேர்ந்தெடு / தேர்வு செய் / வாக்களித்துத் தேர்ந்தெடு,tērnteṭu / tērvu cey / vākkaḷittut tērnteṭu,transitive,b2
to eliminate (from a competition),verb,நீக்கு / வெளியேற்று / தோற்கடி,nīkku / veḷiyēṟṟu / tōṟkaṭi,transitive,b2
"to eliminate (waste, toxins)",verb,வெளியேற்று / நீக்கு / அகற்று,veḷiyēṟṟu / nīkku / akaṟṟu,transitive,b2
to embrace (to accept willingly),verb,ஏற்றுக்கொள் / தழுவிக்கொள் / வரவேற்றுக்கொள்,ēṟṟukkoḷ / taḻuvikkoḷ / varavēṟṟukkoḷ,transitive,b2
"to embrace (to hug, hold)",verb,அணை / தழுவு / கட்டிப்பிடி,aṇai / taḻuvu / kaṭṭippiṭi,transitive,b2
to emerge (generally),verb,வெளிப்படு / தோன்று / கிளம்பு,veḷippaṭu / tōṉṟu / kiḷampu,intransitive,b2
to emerge (to become known),verb,வெளிப்படு / தெரியவா,veḷippaṭu / teriyavā,intransitive,b2
to emerge (to come out),verb,வெளிவா / வெளியே வா / தோன்று,veḷivā / veḷiyē vā / tōṉṟu,intransitive,b2
to emphasize (make prominent),verb,வலியுறுத்து / முக்கியத்துவம் கொடு / அழுத்தம் கொடு,valiyuṟuttu / mukkiyattuvam koṭu / aḻuttam koṭu,transitive,b2
to enable (a feature or setting),verb,செயல்படுத்து / இயக்கு / அனுமதி,ceyalpaṭuttu / iyakku / aṉumati,transitive,b2
"to encounter (difficulty, opposition)",verb,சந்தி / எதிர்கொள் / நேர்,canti / etirkoḷ / nēr,transitive,b2
to encounter (to meet by chance),verb,எதிர்பாராத விதமாகச் சந்தி / தற்செயலாகப் பார்,etirpārāta vitamākac canti / taṟceyalākap pār,intransitive,b2
to engage (mechanically),verb,பொருத்து / பிணை / இணை,poruttu / piṇai / iṇai,transitive,b2
to engage (to attract attention),verb,ஈர்க்க / கவனத்தை ஈர்க்க / ஈடுபடுத்து,īrkka / kavaṉattai īrkka / īṭupaṭuttu,transitive,b2
to enhance (to augment status or value),verb,மேம்படுத்து / பெருக்கு / உயர்த்து,mēmpaṭuttu / perukku / uyarttu,transitive,b2
"to ensure (to guarantee, make certain)",verb,உறுதி செய் / உறுதிப்படுத்து / உறுதி அளி,uṟuti cey / uṟutippaṭuttu / uṟuti aḷi,transitive,b2
to ensure (to practically check),verb,சரிபார் / உறுதி செய் / கவனி,caripār / uṟuti cey / kavaṉi,transitive,b2
"to entertain (an idea, doubt)",verb,கருது / எண்ணிப்பார் / மனதில் கொள்,karutu / eṇṇippār / maṉatil koḷ,transitive,b2
to entrust (responsibility or property),verb,ஒப்படை / பொறுப்பளி,oppaṭai / poṟuppaḷi,transitive,b2
to equip,verb,ஆயத்தப்படுத்து / உபகரணப்படுத்து,āyattappaṭuttu / upakaraṇappaṭuttu,transitive,b2
"to erupt (outburst, conflict)",verb,வெடி / மூளு / கிளம்பு,veṭi / mūḷu / kiḷampu,intransitive,b2
"to erupt (volcano, physical)",verb,வெடி / சீறு,veṭi / cīṟu,intransitive,b2
to establish (a business or institution),verb,நிறுவு / தொடங்கு,niṟuvu / toṭaṅku,transitive,b2
to establish (a fact or truth),verb,நிரூபி / உறுதிப்படுத்து,nirūpi / uṟutippaṭuttu,transitive,b2
"to establish (a truth, confirm)",verb,உறுதிப்படுத்து / நிலைநாட்டு,uṟutippaṭuttu / nilaināṭṭu,transitive,b2
to estimate (calculate roughly),verb,மதிப்பிடு / தோராயமாகக் கணக்கிடு,matippiṭu / tōrāyamākak kaṇakkiṭu,transitive,b2
to estimate (to value highly),verb,மதி / போற்று,mati / pōṟṟu,transitive,b2
"to evaluate (assess, judge)",verb,மதிப்பிடு / மதிப்பீடு செய்,matippiṭu / matippīṭu cey,transitive,b2
to evaluate (critique),verb,விமர்சி / திறனாய்வு செய்,vimarci / tiṟaṉāyvu cey,transitive,b2
to evolve (gradually change),verb,பரிணமி / வளர்ச்சி பெறு,pariṇami / vaḷarcci peṟu,intransitive,b2
to evolve (to develop or formulate a plan),verb,உருவாக்கு / வகு,uruvākku / vaku,transitive,b2
to exceed,verb,மிஞ்சு / கடந்து செல்,miñcu / kaṭantu cel,transitive,b2
"to exclude (to keep someone, something out)",verb,விலக்கு / வெளியேற்று,vilakku / veḷiyēṟṟu,transitive,b2
"to exclude (to omit from a set, calculation)",verb,நீக்கு / தவிர்த்துவிடு,nīkku / tavirttuviṭu,transitive,b2
to excuse (from duty or obligation),verb,விலக்களி / விடுவி,vilakkaḷi / viṭuvi,transitive,b2
to exhibit (a quality or symptom),verb,காட்டு / வெளிப்படுத்து,kāṭṭu / veḷippaṭuttu,transitive,b2
"to exhibit (art, goods)",verb,காட்சிப்படுத்து / கண்காட்சி செய்,kāṭcippaṭuttu / kaṇkāṭci cey,transitive,b2
to exploit (take advantage unfairly),verb,சுரண்டு / தவறாகப் பயன்படுத்து,curaṇṭu / tavaṟākap payaṉpaṭuttu,transitive,b2
