id,english_word,word_class,level,verb_transitivity,hindi_translation,urdu_translation,hindi_transliteration,urdu_transliteration
4647,update (software version),noun,b1,nan,अद्यतन (m) / नया संस्करण (m),अद्यतन (m) / नया वर्ज़न (m),adyatan (m) / nayā saṁskaraṇa (m),adyatan (m) / nayā varzan (m)
4648,upon (immediately after X),preposition,b1,nan,के तुरंत बाद / के पश्चात / के उपरांत,के फ़ौरन बाद / के बाद / के पश्चात,kē turaṁt bād / kē paścāt / kē uparāṁt,kē fauran bād / kē bād / kē paścāt
4649,"upon (immediately after, when)",preposition,b1,nan,के तुरंत बाद / के होते ही / के पश्चात,के फ़ौरन बाद / के होते ही / के बाद,kē turaṁt bād / kē hōtē hī / kē paścāt,kē fauran bād / kē hōtē hī / kē bād
4650,upon (on top of),preposition,b1,nan,पर / ऊपर,पर / ऊपर,par / ūpar,par / ūpar
4651,upset (emotionally distressed),adjective,b1,nan,परेशान / दुखी / व्यथित,परेशान / अफ़सोर्दा / रंजीदा,parēśān / dukhī / vyathit,parēśān / afasōrdā / raṁjīdā
4652,"upset (physically ill, generally unwell)",adjective,b1,nan,अस्वस्थ / बीमार / ठीक न होना,नासाज़ / बीमार / ख़राब,asvasth / bīmār / ṭhīk n hōnā,nāsāz / bīmār / k͟harāb
4653,"upset (physically ill, stomach)",adjective,b1,nan,पेट ख़राब / पेट में गड़बड़,पेट ख़राब / पेट में गड़बड़,pēṭa k͟harāb / pēṭa mēṁ gaṛabaṛa,pēṭa k͟harāb / pēṭa mēṁ gaṛabaṛa
4654,upset (stomach),adjective,b1,nan,पेट ख़राब / पेट में गड़बड़,पेट ख़राब / पेट में गड़बड़,pēṭa k͟harāb / pēṭa mēṁ gaṛabaṛa,pēṭa k͟harāb / pēṭa mēṁ gaṛabaṛa
4655,"used (accustomed to, familiar with)",adjective,b1,nan,आदी / अभ्यस्त / परिचित,आदी / मानूस / वाक़िफ़,ādī / abhyast / paricit,ādī / mānūs / vāqif
4656,"used (not new, second-hand)",adjective,b1,nan,पुराना / इस्तेमाल किया हुआ / प्रयुक्त,पुराना / इस्तेमालशुदा / मुस्तअमल,purānā / istēmāl kiyā huā / prayukt,purānā / istēmālaśudā / mustaamal
4657,useless (without benefit),adjective,b1,nan,बेकार / फ़िज़ूल / निरर्थक,बेकार / फ़िज़ूल / लाहासिल,bēkār / fizūl / nirarthak,bēkār / fizūl / lāhāsil
4658,valuable (important),adjective,b1,nan,क़ीमती / महत्वपूर्ण / अनमोल,क़ीमती / अहम / अनमोल,qīmatī / mahatvapūrṇa / anamōl,qīmatī / aham / anamōl
4659,value (importance),noun,b1,nan,क़ीमत (f) / महत्व (m) / मोल (m),क़ीमत (f) / अहमियत (f) / मोल (m),qīmat (f) / mahatv (m) / mōl (m),qīmat (f) / ahamiyat (f) / mōl (m)
4660,value (moral principle),noun,b1,nan,मूल्य (m) / आदर्श (m) / नैतिकता (f),क़द्र (f) / उसूल (m) / अक़दार (f),mūly (m) / ādarśa (m) / naitikatā (f),qadr (f) / usūl (m) / aqadār (f)
4661,"value (worth, price)",noun,b1,nan,क़ीमत (f) / दाम (m) / मूल्य (m),क़ीमत (f) / मालियत (f) / अर्ज़िश (f),qīmat (f) / dām (m) / mūly (m),qīmat (f) / māliyat (f) / arziśa (f)
4662,various,adjective,b1,nan,कई / तरह-तरह के / विभिन्न,मुख़्तलिफ़ / तरह-तरह के / मुतअद्दिद,kaī / tarah-tarah kē / vibhinn,muk͟htalif / tarah-tarah kē / mutaaddid
4663,"version (account, story)",noun,b1,nan,बयान (m) / वृत्तांत (m),बयान (m) / रिवायत (f) / दास्तान (f),bayān (m) / vr̥ttāṁt (m),bayān (m) / rivāyat (f) / dāstān (f)
4664,"version (of software, product)",noun,b1,nan,वर्ज़न (m) / संस्करण (m),वर्ज़न (m) / नुस्ख़ा (m) / इशाअत (f),varzan (m) / saṁskaraṇa (m),varzan (m) / nusk͟hā (m) / iśāat (f)
4665,"victim (affected by disaster, tragedy)",noun,b1,nan,पीड़ित (m/f) / शिकार (m) / हताहत (m/f),पीड़ित (m/f) / शिकार (m) / मुतास्सिर (m/f),pīṛit (m/f) / śikār (m) / hatāhat (m/f),pīṛit (m/f) / śikār (m) / mutāssir (m/f)
4666,"victim (scapegoat, sacrificial)",noun,b1,nan,शिकार (m) / बलि (f) / बली (m/f),शिकार (m) / क़ुर्बानी (f) / बलि (f),śikār (m) / bali (f) / balī (m/f),śikār (m) / qurbānī (f) / bali (f)
4667,"viewer (media, audience)",noun,b1,nan,दर्शक (m) / दर्शकगण (m),दर्शक (m) / नाज़िर (m) / तमाशाई (m),darśak (m) / darśakagaṇa (m),darśak (m) / nāzir (m) / tamāśāī (m)
4668,viewer (observer),noun,b1,nan,देखने वाला (m) / दर्शक (m) / प्रेक्षक (m),देखने वाला (m) / दर्शक (m) / नाज़िर (m),dēkhanē vālā (m) / darśak (m) / prēkṣak (m),dēkhanē vālā (m) / darśak (m) / nāzir (m)
4669,villager (informal),noun,b1,nan,गाँव वाला (m) / देहाती (m) / ग्रामीण (m),गाँव वाला (m) / देहाती (m) / अहल-ए-देहात (m),gām̐v vālā (m) / dēhātī (m) / grāmīṇa (m),gām̐v vālā (m) / dēhātī (m) / ahal-ē-dēhāt (m)
4670,"violent (aggressive, forceful)",adjective,b1,nan,हिंसक / ज़ोरदार / आक्रामक,हिंसक / ज़ोरदार / तशद्दुद-पसंद,hiṁsak / zōradār / ākrāmak,hiṁsak / zōradār / taśaddud-pasaṁd
4671,"violent (intense, severe)",adjective,b1,nan,तेज़ / तीव्र / प्रचंड,तेज़ / शदीद / पुर-शिद्दत,tēz / tīvr / pracaṁḍa,tēz / śadīd / pur-śiddat
4672,"voice (opinion, influence)",noun,b1,nan,आवाज़ (f) / राय (f) / प्रभाव (m),आवाज़ (f) / राय (f) / असर (m),āvāz (f) / rāy (f) / prabhāv (m),āvāz (f) / rāy (f) / asar (m)
4673,volume (loudness),noun,b1,nan,आवाज़ (f) / ध्वनि-स्तर (m),आवाज़ (f) / शिद्दत (f),āvāz (f) / dhvani-star (m),āvāz (f) / śiddat (f)
4674,volunteer,noun,b1,nan,स्वयंसेवक (m) / स्वयंसेवी (m/f),स्वयंसेवक (m) / कारकुन (m),svayaṁsēvak (m) / svayaṁsēvī (m/f),svayaṁsēvak (m) / kārakun (m)
4675,vote,noun,b1,nan,वोट (m) / मत (m),वोट (m) / राय (f),vōṭa (m) / mat (m),vōṭa (m) / rāy (f)
4676,warning (disciplinary reprimand),noun,b1,nan,डाँट (f) / फटकार (f) / चेतावनी (f),चेतावनी (f) / सरज़निष (f) / मलामत (f),ḍām̐ṭa (f) / phaṭakār (f) / cētāvanī (f),cētāvanī (f) / sarazaniṣa (f) / malāmat (f)
4677,warning (formal reprimand),noun,b1,nan,चेतावनी (f) / औपचारिक चेतावनी (f) / निंदा (f),चेतावनी (f) / सरज़निष (f) / मलामत (f),cētāvanī (f) / aupacārik cētāvanī (f) / niṁdā (f),cētāvanī (f) / sarazaniṣa (f) / malāmat (f)
4678,"waste (barren, unused land)",adjective,b1,nan,बंजर / बेकार / परती,बंजर / बेकार / वीरान,baṁjar / bēkār / paratī,baṁjar / bēkār / vīrān
4679,"waste (refuse, garbage)",noun,b1,nan,कचरा (m) / कूड़ा (m) / अपशिष्ट (m),कचरा (m) / कूड़ा (m) / फ़ुज़ला (m),kacarā (m) / kūṛā (m) / apaśiṣṭa (m),kacarā (m) / kūṛā (m) / fuzalā (m)
4680,"waste (squandering, misuse)",noun,b1,nan,बर्बादी (f) / अपव्यय (m) / फ़ुज़ूलख़र्ची (f),बर्बादी (f) / ज़ाया (m) / फ़ुज़ूलख़र्ची (f) / इसराफ़ (m),barbādī (f) / apavyay (m) / fuzūlak͟harcī (f),barbādī (f) / zāyā (m) / fuzūlak͟harcī (f) / isarāf (m)
4681,wave (surge or period),noun,b1,nan,लहर (f) / तरंग (f),लहर (f) / मौज (f) / तरंग (f),lahar (f) / taraṁg (f),lahar (f) / mauj (f) / taraṁg (f)
4682,weapon,noun,b1,nan,हथियार (m) / शस्त्र (m) / आयुध (m),हथियार (m) / असलाह (m) / शस्त्र (m),hathiyār (m) / śastr (m) / āyudh (m),hathiyār (m) / asalāh (m) / śastr (m)
4683,"western (cultural, occidental)",adjective,b1,nan,पश्चिमी / पाश्चात्य,पश्चिमी / मग़रिबी,paścimī / pāścāty,paścimī / maġaribī
4684,western (direction),adjective,b1,nan,पश्चिमी,पश्चिमी / मग़रिबी,paścimī,paścimī / maġaribī
4685,western (directional),adjective,b1,nan,पश्चिमी,पश्चिमी / मग़रिबी,paścimī,paścimī / maġaribī
4686,"whatever (determiner, e.g., 'whatever book')",determiner,b1,nan,जो भी / कोई भी,जो भी / कोई भी / जो कुछ भी,jō bhī / kōī bhī,jō bhī / kōī bhī / jō kuch bhī
4687,whatever (dismissive),pronoun,b1,nan,जो मर्ज़ी / जो कुछ भी,जो मर्ज़ी / जो कुछ भी / जो चाहे,jō marzī / jō kuch bhī,jō marzī / jō kuch bhī / jō cāhē
4688,"whatever (indifferent, dismissive)",determiner,b1,nan,जो भी / कोई भी,जो भी / कोई भी / जो कुछ भी,jō bhī / kōī bhī,jō bhī / kōī bhī / jō kuch bhī
4689,"whatever (pronoun, dismissive)",pronoun,b1,nan,जो मर्ज़ी / जो कुछ भी,जो मर्ज़ी / जो कुछ भी / जो चाहे,jō marzī / jō kuch bhī,jō marzī / jō kuch bhī / jō cāhē
4690,"whatever (things, concepts)",determiner,b1,nan,जो कुछ भी / जो भी,जो कुछ भी / जो भी,jō kuch bhī / jō bhī,jō kuch bhī / jō bhī
4691,whenever,conjunction,b1,nan,जब कभी / जब भी,जब कभी / जब भी,jab kabhī / jab bhī,jab kabhī / jab bhī
4692,whether,conjunction,b1,nan,कि / क्या,कि / आया,ki / kyā,ki / āyā
4693,whether (introducing choice),conjunction,b1,nan,चाहे... या... / चाहे... अथवा...,ख़्वाह... या... / चाहे... या...,cāhē... yā... / cāhē... athavā...,k͟hvāh... yā... / cāhē... yā...
4694,"whether (introducing choice, often with 'or not')",conjunction,b1,nan,चाहे... या नहीं / चाहे... अथवा नहीं,ख़्वाह... या नहीं / चाहे... या नहीं,cāhē... yā nahīṁ / cāhē... athavā nahīṁ,k͟hvāh... yā nahīṁ / cāhē... yā nahīṁ
4695,while (a short period),noun,b1,nan,थोड़ी देर (f) / कुछ देर (f),थोड़ी देर (f) / कुछ देर (f),thōṛī dēr (f) / kuch dēr (f),thōṛī dēr (f) / kuch dēr (f)
4696,while (during the time that),noun,b1,nan,अवधि (f) / दौरान (m) / समय (m),मुद्दत (f) / दौरान (m) / वक़्त (m),avadhi (f) / daurān (m) / samay (m),muddat (f) / daurān (m) / vaqt (m)
4697,"while (whereas, contrast)",noun,b1,nan,फ़र्क़ (m) / अंतर (m) / तुलना (f),फ़र्क़ (m) / इम्तियाज़ (m) / तज़ाद (m),farq (m) / aṁtar (m) / tulanā (f),farq (m) / imtiyāz (m) / tazād (m)
4698,"whole (entire , complete)",noun,b1,nan,पूरा (m) / संपूर्णता (f) / समग्रता (f),कुल (m) / मुकम्मलियत (f) / तमामियत (f),pūrā (m) / saṁpūrṇatā (f) / samagratā (f),kul (m) / mukammaliyat (f) / tamāmiyat (f)
4699,will (determination),noun,b1,nan,इच्छाशक्ति (f) / संकल्प (m) / दृढ़ता (f),अज़्म (m) / इरादा (m) / हिम्मत (f),icchāśakti (f) / saṁkalp (m) / dr̥ṛhatā (f),azm (m) / irādā (m) / himmat (f)
4700,will (desire),noun,b1,nan,इच्छा (f) / मर्ज़ी (f) / चाह (f),मर्ज़ी (f) / ख़्वाहिश (f) / इरादा (m),icchā (f) / marzī (f) / cāh (f),marzī (f) / k͟hvāhiśa (f) / irādā (m)
4701,will (legal document),noun,b1,nan,वसीयत (f),वसीयत (f),vasīyat (f),vasīyat (f)
4702,"will (strong resolve, determination)",noun,b1,nan,इच्छाशक्ति (f) / संकल्प (m) / दृढ़ता (f),इरादा (m) / अज़्म (m) / हिम्मत (f),icchāśakti (f) / saṁkalp (m) / dr̥ṛhatā (f),irādā (m) / azm (m) / himmat (f)
4703,win,noun,b1,nan,जीत (f) / विजय (f) / सफलता (f),जीत (f) / फ़तह (f) / कामयाबी (f),jīt (f) / vijay (f) / saphalatā (f),jīt (f) / fatah (f) / kāmayābī (f)
4704,wing (of a building),noun,b1,nan,हिस्सा (m) / खंड (m) / विंग (m),हिस्सा (m) / पर (m) / विंग (m),hissā (m) / khaṁḍa (m) / viṁg (m),hissā (m) / par (m) / viṁg (m)
4705,wing (political group),noun,b1,nan,धड़ा (m) / गुट (m) / पक्ष (m),धड़ा (m) / गुट (m) / विंग (m),dhaṛā (m) / guṭa (m) / pakṣa (m),dhaṛā (m) / guṭa (m) / viṁg (m)
4706,within (time limit),preposition,b1,nan,के भीतर / के अंदर / के अंदर ही,के अंदर / के भीतर / के दौरान,kē bhītar / kē aṁdar / kē aṁdar hī,kē aṁdar / kē bhītar / kē daurān
4707,wonder (marvel or astonishing thing),noun,b1,nan,अजूबा (m) / चमत्कार (m) / आश्चर्य (m),अजूबा (m) / हैरत (f) / करिश्मा (m),ajūbā (m) / camatkār (m) / āścary (m),ajūbā (m) / hairat (f) / kariśmā (m)
4708,wooden (stiff or unnatural),adjective,b1,nan,बेजान / रूखा / अनाड़ी,बेजान / सख़्त / अनाड़ी,bējān / rūkhā / anāṛī,bējān / sak͟ht / anāṛī
4709,wool,noun,b1,nan,ऊन (f),ऊन (f),ūn (f),ūn (f)
4710,worldwide,adverb,b1,N/A,दुनिया भर में / विश्व भर में / वैश्विक स्तर पर,दुनिया भर में / आलमी तौर पर / आलमगीर सतह पर,duniyā bhar mēṁ / viśv bhar mēṁ / vaiśvik star par,duniyā bhar mēṁ / ālamī taur par / ālamagīr satah par
4711,worldwide (adjective),adverb,b1,N/A,दुनिया भर का / विश्वव्यापी / वैश्विक,दुनिया भर का / आलमी / आलमगीर,duniyā bhar kā / viśvavyāpī / vaiśvik,duniyā bhar kā / ālamī / ālamagīr
4712,"worried (anxious, distressed)",adjective,b1,N/A,परेशान / चिंतित / फ़िक्रमंद,परेशान / फ़िक्रमंद / मुज़्तरिब,parēśān / ciṁtit / fikramaṁd,parēśān / fikramaṁd / muztarib
4713,worry,noun,b1,N/A,चिंता (f) / फ़िक्र (f) / परेशानी (f),फ़िक्र (f) / परेशानी (f) / अंदेशा (m),ciṁtā (f) / fikr (f) / parēśānī (f),fikr (f) / parēśānī (f) / aṁdēśā (m)
4714,worse,adverb,b1,N/A,और बुरा / ज़्यादा ख़राब / बदतर,और बुरा / ज़्यादा ख़राब / बदतर,aur burā / zyādā k͟harāb / badatar,aur burā / zyādā k͟harāb / badatar
4715,worse (comparative adverb),adverb,b1,N/A,और बुरा / ज़्यादा ख़राब / बदतर,और बुरा / ज़्यादा ख़राब / बदतर,aur burā / zyādā k͟harāb / badatar,aur burā / zyādā k͟harāb / badatar
4716,"worst (at worst, at minimum)",adjective,b1,N/A,ज़्यादा से ज़्यादा / कम से कम / बद से बदतर,ज़्यादा से ज़्यादा / कम से कम / बद से बदतर,zyādā sē zyādā / kam sē kam / bad sē badatar,zyādā sē zyādā / kam sē kam / bad sē badatar
4717,worst (superlative adjective),adjective,b1,N/A,सबसे बुरा / बदतरीन / निकृष्टतम,सबसे बुरा / बदतरीन / निहायत ख़राब,sabasē burā / badatarīn / nikr̥ṣṭatam,sabasē burā / badatarīn / nihāyat k͟harāb
4718,worst (superlative adverb),adverb,b1,N/A,सबसे बुरी तरह से / बदतरीन तरीक़े से,सबसे बुरी तरह से / बदतरीन तरीक़े से,sabasē burī tarah sē / badatarīn tarīqē sē,sabasē burī tarah sē / badatarīn tarīqē sē
4719,"worth (deserving of, beneficial)",adjective,b1,N/A,लायक़ / क़ाबिल / फ़ायदेमंद / मूल्यवान,लायक़ / क़ाबिल / फ़ायदेमंद / अहल,lāyaq / qābil / fāyadēmaṁd / mūlyavān,lāyaq / qābil / fāyadēmaṁd / ahal
4720,"written (formal, official)",adjective,b1,nan,तहरीरी / लिखित,तहरीरी / मकतूबी,taharīrī / likhit,taharīrī / makatūbī
4721,"wrong (incorrect, not right)",adverb,b1,nan,ग़लत / अशुद्ध,ग़लत / नादुरुस्त,ġalat / aśuddh,ġalat / nādurust
4722,wrong (incorrectly),adverb,b1,nan,ग़लत तरीक़े से / ग़लती से / अशुद्ध रूप से,ग़लत तरीक़े से / ग़लती से / नादुरुस्ती से,ġalat tarīqē sē / ġalatī sē / aśuddh rūp sē,ġalat tarīqē sē / ġalatī sē / nādurustī sē
4723,wrong (morally bad),adverb,b1,nan,ग़लत तरीक़े से / अनुचित रूप से,ग़लत तरीक़े से / नाजा़इज़ तरीक़े से,ġalat tarīqē sē / anucit rūp sē,ġalat tarīqē sē / nājā̈iz tarīqē sē
4724,"wrong (morally bad, unjust)",adverb,b1,nan,ना-इंसाफ़ी से / अन्यायपूर्ण तरीक़े से,ना-इंसाफ़ी से / नाजा़इज़ तरीक़े से / ज़ुल्म से,nā-iṁsāfī sē / anyāyapūrṇa tarīqē sē,nā-iṁsāfī sē / nājā̈iz tarīqē sē / zulm sē
4725,"wrong (morally bad, unjustly)",adverb,b1,nan,ना-इंसाफ़ी से / अन्यायपूर्ण तरीक़े से,ना-इंसाफ़ी से / नाजा़इज़ तरीक़े से / ज़ुल्म से,nā-iṁsāfī sē / anyāyapūrṇa tarīqē sē,nā-iṁsāfī sē / nājā̈iz tarīqē sē / zulm sē
4726,yard (area near a house),noun,b1,nan,आँगन (m) / अहाता (m) / सहन (m),आँगन (m) / अहाता (m) / सहन (m),ām̐gan (m) / ahātā (m) / sahan (m),ām̐gan (m) / ahātā (m) / sahan (m)
4727,yard (unit of measurement),noun,b1,nan,गज़ (m) / यार्ड (m),गज़ (m) / यार्ड (m),gaz (m) / yārḍa (m),gaz (m) / yārḍa (m)
4728,young (offspring),noun,b1,nan,बच्चा (m) / शावक (m),बच्चा (m) / नसल (f),baccā (m) / śāvak (m),baccā (m) / nasal (f)
4729,young (people collectively),noun,b1,nan,नौजवान (m) / युवा (m) / युवा वर्ग (m),नौजवान (m) / शबाब (m) / नौजवान तबक़ा (m),naujavān (m) / yuvā (m) / yuvā varg (m),naujavān (m) / śabāb (m) / naujavān tabaqā (m)
4730,youth (period of life),noun,b1,nan,जवानी (f) / युवावस्था (f) / यौवन (m),जवानी (f) / शबाब (m) / अय्याम-ए-शबाब (m),javānī (f) / yuvāvasthā (f) / yauvan (m),javānī (f) / śabāb (m) / ayyām-ē-śabāb (m)
4731,youth (young people collectively),noun,b1,nan,नौजवान (m) / युवा (m) / नवयुवक (m),नौजवान (m) / युवा (m) / अहल-ए-शबाब (m),naujavān (m) / yuvā (m) / navayuvak (m),naujavān (m) / yuvā (m) / ahal-ē-śabāb (m)
4732,"absolute (complete, total)",adjective,b2,nan,पूरा / कुल / संपूर्ण / पूर्ण,पूरा / कुल / मुकम्मल / कामिल,pūrā / kul / saṁpūrṇa / pūrṇa,pūrā / kul / mukammal / kāmil
4733,"absolute (definite, certain)",adjective,b2,nan,निश्चित / पक्का / यक़ीनी / अटल,यक़ीनी / मुतलक़ / क़तई,niścit / pakkā / yaqīnī / aṭal,yaqīnī / mutalaq / qataī
4734,"absolute (not relative, unconditional)",adjective,b2,nan,निरपेक्ष / बिना शर्त / पूर्ण,मुतलक़ / ग़ैर-नसबी / बिला-शर्त,nirapēkṣa / binā śart / pūrṇa,mutalaq / ġair-nasabī / bilā-śart
4735,abstract (artistic style),adjective,b2,nan,अमूर्त / निराकार,अमूर्त / मुजर्रद,amūrt / nirākār,amūrt / mujarrad
4736,abstract (theoretical),adjective,b2,nan,अमूर्त / सैद्धांतिक / वैचारिक,अमूर्त / नज़रियाती / ख़याली,amūrt / saiddhāṁtik / vaicārik,amūrt / nazariyātī / k͟hayālī
4737,"academic (studies, subjects)",noun,b2,nan,शिक्षा (f) / विद्या (f) / शैक्षिक क्षेत्र (m),तालीम (f) / इल्म (m) / अकादमिक शोबा (m),śikṣā (f) / vidyā (f) / śaikṣik kṣētr (m),tālīm (f) / ilm (m) / akādamik śōbā (m)
4738,accent (design feature),noun,b2,nan,उभार (m) / विशेषता (f) / आकर्षण (m),उभार (m) / नुमायाँ हिस्सा (m) / ख़ासियत (f),ubhār (m) / viśēṣatā (f) / ākarṣaṇa (m),ubhār (m) / numāyām̐ hissā (m) / k͟hāsiyat (f)
4739,accent (pronunciation),noun,b2,nan,लहजा (m) / उच्चारण (m) / बोलने का तरीक़ा (m),लहजा (m) / तलफ़्फ़ुज़ (m) / बोलने का अंदाज़ (m),lahajā (m) / uccāraṇa (m) / bōlanē kā tarīqā (m),lahajā (m) / talaffuz (m) / bōlanē kā aṁdāz (m)
4740,"acceptable (socially, formally)",adjective,b2,nan,स्वीकार्य / मान्य / ग्राह्य,क़ाबिल-ए-क़बूल / मक़बूल / मंज़ूर,svīkāry / māny / grāhy,qābil-ē-qabūl / maqabūl / maṁzūr
4741,accidentally,adverb,b2,nan,गलती से / इत्तिफ़ाक़ से / अनायास,गलती से / इत्तिफ़ाक़न / सहवन,galatī sē / ittifāq sē / anāyās,galatī sē / ittifāqan / sahavan
4742,accountant,noun,b2,nan,मुनीम (m) / लेखाकार (m) / अकाउंटेंट (m),मुनीम (m) / मुहासिब (m) / अकाउंटेंट (m),munīm (m) / lēkhākār (m) / akāuṁṭēṁṭa (m),munīm (m) / muhāsib (m) / akāuṁṭēṁṭa (m)
4743,accuracy,noun,b2,nan,शुद्धता (f) / सटीकता (f) / यथार्थता (f),दुरुस्तगी (f) / सहीहगी (f) / यक़ीनियत (f),śuddhatā (f) / saṭīkatā (f) / yathārthatā (f),durustagī (f) / sahīhagī (f) / yaqīniyat (f)
4744,accurate,adjective,b2,nan,सही / सटीक / शुद्ध / यथार्थ,दुरुस्त / सहीह / यक़ीनी,sahī / saṭīk / śuddh / yathārth,durust / sahīh / yaqīnī
4745,accurately (with high precision),adverb,b2,nan,ठीक से / सटीकता से / शुद्धता से,दुरुस्तगी से / सहीहगी से / यक़ीनियत से,ṭhīk sē / saṭīkatā sē / śuddhatā sē,durustagī sē / sahīhagī sē / yaqīniyat sē
4746,acid,noun,b2,nan,तेज़ाब (m) / अम्ल (m),तेज़ाब (m) / एसिड (m),tēzāb (m) / aml (m),tēzāb (m) / ēsiḍa (m)
4747,"actual (specific, precise)",adjective,b2,nan,असल / वास्तविक / यथार्थ,असल / हक़ीक़ी / वाक़ई,asal / vāstavik / yathārth,asal / haqīqī / vāqaī
4748,addiction,noun,b2,nan,लत (f) / आदत (f) / व्यसन (m),लत (f) / नशा (m) / आदत (f),lat (f) / ādat (f) / vyasan (m),lat (f) / naśā (m) / ādat (f)
4749,additional,adjective,b2,nan,अतिरिक्त / और / ज़्यादा,इज़ाफ़ी / मज़ीद / अतिरिक्त,atirikt / aur / zyādā,izāfī / mazīd / atirikt
4750,"additionally (also, in addition to this)",adverb,b2,nan,और भी / इसके अलावा / अतिरिक्त रूप से,और भी / इसके अलावा / मज़ीद बराँ,aur bhī / isakē alāvā / atirikt rūp sē,aur bhī / isakē alāvā / mazīd barām̐
4751,"additionally (furthermore, moreover)",adverb,b2,nan,इसके अतिरिक्त / इसके अलावा / और तो और,इसके अलावा / मज़ीद ये कि / अज़ सर-ए-नौ,isakē atirikt / isakē alāvā / aur tō aur,isakē alāvā / mazīd yē ki / az sar-ē-nau
4752,"adequate (Just satisfactory, Mediocre)",adjective,b2,nan,ठीक-ठाक / औसत / संतोषजनक,ठीक-ठाक / औसत / माक़ूल,ṭhīk-ṭhāk / ausat / saṁtōṣajanak,ṭhīk-ṭhāk / ausat / māqūl
4753,"adequate (sufficient, suitable)",adjective,b2,nan,काफ़ी / पर्याप्त / समुचित,काफ़ी / मुनासिब / वाफ़ी,kāfī / paryāpt / samucit,kāfī / munāsib / vāfī
4754,adequately (sufficiently),adverb,b2,nan,काफ़ी हद तक / पर्याप्त रूप से,काफ़ी हद तक / वाफ़ी तौर पर,kāfī had tak / paryāpt rūp sē,kāfī had tak / vāfī taur par
4755,"adequately (suitably, competently)",adverb,b2,nan,ठीक से / मुनासिब तरीक़े से / योग्यता से,ठीक से / मुनासिब तरीक़े से / ब-ख़ूबी,ṭhīk sē / munāsib tarīqē sē / yōgyatā sē,ṭhīk sē / munāsib tarīqē sē / b-k͟hūbī
4756,"administration (dispensing, application)",noun,b2,nan,वितरण (m) / प्रयोग (m) / देना (m),तक़्सीम (f) / इत्लाक़ (m) / देना (m),vitaraṇa (m) / prayōg (m) / dēnā (m),taqsīm (f) / itlāq (m) / dēnā (m)
4757,"advance (approach, overture)",noun,b2,nan,पहल (f) / क़दम (m) / प्रस्ताव (m),पहल (f) / क़दम (m) / पेशकश (f),pahal (f) / qadam (m) / prastāv (m),pahal (f) / qadam (m) / pēśakaśa (f)
4758,"advance (pre-payment, loan)",noun,b2,nan,पेशगी (f) / अग्रिम (m) / उधार (m),पेशगी (f) / सल्फ़ (m) / क़र्ज़ (m),pēśagī (f) / agrim (m) / udhār (m),pēśagī (f) / salf (m) / qarz (m)
4759,"advance (prepayment, loan)",noun,b2,nan,पेशगी (f) / अग्रिम (m) / उधार (m),पेशगी (f) / सल्फ़ (m) / क़र्ज़ (m),pēśagī (f) / agrim (m) / udhār (m),pēśagī (f) / salf (m) / qarz (m)
4760,"advance (progress, development)",noun,b2,nan,तरक़्क़ी (f) / प्रगति (f) / विकास (m),तरक़्क़ी (f) / पेशरफ़्त (f) / इरतक़ा (m),taraqqī (f) / pragati (f) / vikās (m),taraqqī (f) / pēśaraft (f) / irataqā (m)
4761,affair (matter or event),noun,b2,nan,मामला (m) / बात (f) / घटना (f) / प्रकरण (m),मामला (m) / वाक़िआ (m) / अम्र (m),māmalā (m) / bāt (f) / ghaṭanā (f) / prakaraṇa (m),māmalā (m) / vāqiā (m) / amr (m)
4762,affair (romantic relationship),noun,b2,nan,चक्कर (m) / प्रेम-संबंध (m) / इश्क़िया ताल्लुक़ (m),चक्कर (m) / इश्क़िया ताल्लुक़ (m) / राब्ता (m),cakkar (m) / prēm-saṁbaṁdh (m) / iśqiyā tālluq (m),cakkar (m) / iśqiyā tālluq (m) / rābtā (m)
4763,affordable,adjective,b2,nan,किफ़ायती / सस्ता / वहनीय,किफ़ायती / दस्तरस में / क़ाबिल-ए-ख़रीद,kifāyatī / sastā / vahanīy,kifāyatī / dastaras mēṁ / qābil-ē-k͟harīd
4764,afterwards (subsequently),adverb,b2,nan,बाद में / उसके बाद / तत्पश्चात,बाद में / उसके बाद / बा'द अज़ आं,bād mēṁ / usakē bād / tatpaścāt,bād mēṁ / usakē bād / bā'd az āṁ
4765,agency (organization),noun,b2,nan,एजेंसी (f) / संस्था (f) / अभिकरण (m),एजेंसी (f) / इदारा (m),ējēṁsī (f) / saṁsthā (f) / abhikaraṇa (m),ējēṁsī (f) / idārā (m)
4766,agency (power to act),noun,b2,nan,शक्ति (f) / अधिकार (m),इख़्तियार (m) / क़ुव्वत (f) / अमलदारी (f),śakti (f) / adhikār (m),ik͟htiyār (m) / quvvat (f) / amaladārī (f)
4767,"agenda (hidden motive, plan)",noun,b2,nan,एजेंडा (m) / गुप्त मक़सद (m) / छिपी हुई योजना (f),एजेंडा (m) / पोशीदा मक़सद (m) / ख़ुफ़िया मंसूबा (m),ējēṁḍā (m) / gupt maqasad (m) / chipī huī yōjanā (f),ējēṁḍā (m) / pōśīdā maqasad (m) / k͟hufiyā maṁsūbā (m)
