id,english_word,word_class,level,verb_transitivity,kannada_translation,transliteration
4307,to incur (costs or expenses),verb,c1,transitive,ಭರಿಸು / ವಹಿಸು / ಹೊತ್ತುಕೊಳ್ಳು,bharisu / vahisu / hottukoḷḷu
4308,to incur (liability),verb,c1,transitive,ಹೊತ್ತುಕೊಳ್ಳು / ಒಳಗಾಗು,hottukoḷḷu / oḷagāgu
4309,"to incur (anger, displeasure)",verb,c1,transitive,ತಂದುಕೊಳ್ಳು / ಗುರಿಯಾಗು / ಆಹ್ವಾನಿಸು,taṁdukoḷḷu / guriyāgu / āhvānisu
4310,"indeed (truly, in fact)",adverb,b1,nan,ನಿಜವಾಗಿಯೂ / ಖಂಡಿತವಾಗಿಯೂ / ವಾಸ್ತವವಾಗಿ,nijavāgiyū / khaṁḍitavāgiyū / vāstavavāgi
4311,indeed (to a high degree),adverb,b1,nan,ಖಂಡಿತವಾಗಿಯೂ / ಸತ್ಯವಾಗಿಯೂ,khaṁḍitavāgiyū / satyavāgiyū
4312,independence (self-reliance),noun,b2,nan,ಸ್ವಾವಲಂಬನೆ / ಸ್ವಾತಂತ್ರ್ಯ / ಸ್ವತಂತ್ರತೆ,svāvalaṁbane / svātaṁtrya / svataṁtrate
4313,help,noun,a1,nan,ಸಹಾಯ / ನೆರವು / ಉಪಕಾರ,sahāya / neravu / upakāra
4314,"to help (be useful, beneficial)",verb,a1,intransitive,ಉಪಯೋಗವಾಗು / ಪ್ರಯೋಜನವಾಗು / ಲಾಭವಾಗು,upayōgavāgu / prayōjanavāgu / lābhavāgu
4315,to help (action),verb,a1,transitive,ಸಹಾಯ ಮಾಡು / ನೆರವಾಗು / ಕೈಜೋಡಿಸು,sahāya māḍu / neravāgu / kaijōḍisu
4316,helpful,adjective,a2,nan,ಉಪಯೋಗಕರ / ಸಹಾಯಕಾರಿ / ಪ್ರಯೋಜನಕಾರಿ,upayōgakara / sahāyakāri / prayōjanakāri
4317,hence (therefore),adverb,b2,nan,ಆದ್ದರಿಂದ / ಹೀಗಾಗಿ / ಆದುದರಿಂದ,āddariṁda / hīgāgi / ādudariṁda
4318,hence (from now),adverb,b2,nan,ಇನ್ನು ಮುಂದೆ / ಇಂದಿನಿಂದ / ಮುಂದಿನಿಂದ,innu muṁde / iṁdiniṁda / muṁdiniṁda
4319,her (possessive),determiner,a1,nan,ಅವಳ / ಅವರ,avaḷa / avara
4320,"her (object pronoun, indirect)",pronoun,a1,nan,ಅವಳಿಗೆ / ಅವರಿಗೆ,avaḷige / avarige
4321,"her (object pronoun, direct)",pronoun,a1,nan,ಅವಳನ್ನು / ಅವರನ್ನು,avaḷannu / avarannu
4322,"she (familiar, non-respectful)",pronoun,a1,nan,ಅವಳು,avaḷu
4323,"she (respectful, formal)",pronoun,a1,nan,ಅವರು,avaru
4324,herb (medicinal plant),noun,b2,nan,ಮೂಲಿಕೆ / ಔಷಧೀಯ ಸಸ್ಯ,mūlike / auṣadhīya sasya
4325,herb (culinary),noun,b2,nan,ಸೊಪ್ಪು / ಪಲ್ಲೆ,soppu / palle
4326,here (to this place),adverb,a1,nan,ಇಲ್ಲಿಗೆ,illige
4327,here (in this place),adverb,a1,nan,ಇಲ್ಲಿ,illi
4328,heritage,noun,c1,nan,ಪರಂಪರೆ / ಸಂಸ್ಕೃತಿ / ಐತಿಹಾಸಿಕತೆ,paraṁpare / saṁskr̥ti / aitihāsikate
4329,hero (movie protagonist),noun,a2,nan,ನಾಯಕ / ಮುಖ್ಯ ಪಾತ್ರಧಾರಿ,nāyaka / mukhya pātradhāri
4330,hero (brave person),noun,a2,nan,ವೀರ / ಶೂರ / ಧೀರ,vīra / śūra / dhīra
4331,"hers (formal, honorific)",pronoun,a2,nan,ಅವರದು,avaradu
4332,hers (familiar),pronoun,a2,nan,ಅವಳದು,avaḷadu
4333,herself (for emphasis),pronoun,a2,nan,ಅವಳೇ,avaḷē
4334,to hesitate (due to shyness or embarrassment),verb,b2,intransitive,ಸಂಕೋಚಪಡು / ಹಿಂಜರಿ / ತಡಮಾಡು,saṁkōcapaḍu / hiṁjari / taḍamāḍu
4335,hey (casual address),exclamation,a1,nan,ಏಯ್ / ಏನು,ēy / ēnu
4336,"hey (neutral, polite address)",exclamation,a1,nan,ರೀ,rī
4337,hello (standard greeting),exclamation,a1,nan,ನಮಸ್ಕಾರ / ಹಲೋ,namaskāra / halō
4338,hidden (physically concealed),adjective,b2,nan,ಅಡಗಿದ / ಮರೆಮಾಡಿದ,aḍagida / maremāḍida
4339,hidden (secret or obscure),adjective,b2,nan,ಗುಪ್ತ / ರಹಸ್ಯ / ಅಗೋಚರ,gupta / rahasya / agōcara
4340,to hide (oneself),verb,a2,intransitive,ಅಡಗು / ಮರೆಮಾಚಿಕೊ,aḍagu / maremāciko
4341,hierarchy,noun,c1,nan,ಶ್ರೇಣಿ ವ್ಯವಸ್ಥೆ / ಪದಾನುಕ್ರಮ,śrēṇi vyavasthe / padānukrama
4342,high (physical elevation),adjective,a1,nan,ಎತ್ತರವಾದ / ಉನ್ನತವಾದ,ettaravāda / unnatavāda
4343,high (intensity or degree),adjective,a1,nan,ಅಧಿಕ / ಹೆಚ್ಚಿನ / ಉನ್ನತ,adhika / heccina / unnata
4344,high (altitude),adverb,a2,nan,ಎತ್ತರದಲ್ಲಿ / ಮೇಲೆ,ettaradalli / mēle
4345,high (sound pitch),adverb,a2,nan,ತೀಕ್ಷ್ಣವಾಗಿ / ಉಚ್ಚ ಸ್ವರದಲ್ಲಿ,tīkṣṇavāgi / ucca svaradalli
4346,high (maximum level),noun,b2,nan,ಗರಿಷ್ಠ ಮಟ್ಟ / ಪರಮಾವಧಿ,gariṣṭha maṭṭa / paramāvadhi
4347,high (state of euphoria),noun,b2,nan,ಅಮಲು / ಮದ,amalu / mada
4348,high-profile (prominent status),adjective,c1,nan,ಉನ್ನತ ಸ್ಥಾನಮಾನದ / ಪ್ರಮುಖ / ಗಣ್ಯ,unnata sthānamānada / pramukha / gaṇya
4349,high-profile (highly publicized),adjective,c1,nan,ಹೆಚ್ಚು ಪ್ರಚಾರದ / ಜನಪ್ರಿಯ / ಸಾರ್ವಜನಿಕ ಗಮನ ಸೆಳೆದ,heccu pracārada / janapriya / sārvajanika gamana seḷeda
4350,highlight (main point),noun,b1,N/A,ಪ್ರಮುಖ ಅಂಶ / ಮುಖ್ಯ ವಿಷಯ,pramukha aṁśa / mukhya viṣaya
4351,highlight (visual element),noun,b2,N/A,ಎದ್ದುಕಾಣುವ ಭಾಗ / ಪ್ರಕಾಶಮಾನ ಸ್ಥಳ,eddukāṇuva bhāga / prakāśamāna sthaḷa
4352,"to highlight (visually, using marker)",verb,b1,transitive,ಹೈಲೈಟ್ ಮಾಡು / ಗುರುತು ಮಾಡು,hailaiṭ māḍu / gurutu māḍu
4353,to highlight (to emphasize importance),verb,b1,transitive,ಒತ್ತಿ ಹೇಳು / ಪ್ರಾಮುಖ್ಯತೆ ನೀಡು,otti hēḷu / prāmukhyate nīḍu
4354,highly,adverb,b1,N/A,ಅತ್ಯಂತ / ಬಹಳ / ಹೆಚ್ಚು,atyaṁta / bahaḷa / heccu
4355,highway,noun,b2,N/A,ಹೆದ್ದಾರಿ,heddāri
4356,hilarious,adjective,b2,N/A,ಅತ್ಯಂತ ತಮಾಷೆಯ / ಬಹಳ ಹಾಸ್ಯದ / ವಿನೋದಮಯ,atyaṁta tamāṣeya / bahaḷa hāsyada / vinōdamaya
4357,"hill (small, mound)",noun,a2,N/A,ಗುಡ್ಡ / ದಿಬ್ಬ,guḍḍa / dibba
4358,hill (large),noun,a2,N/A,ಬೆಟ್ಟ / ಪರ್ವತ,beṭṭa / parvata
4359,"him (casual, accusative)",pronoun,a1,N/A,ಅವನನ್ನ,avananna
4360,"him (casual, dative)",pronoun,a1,N/A,ಅವನಿಗೆ,avanige
4361,"him (formal, accusative)",pronoun,a1,N/A,ಅವರನ್ನು,avarannu
4362,"him (formal, dative)",pronoun,a1,N/A,ಅವರಿಗೆ,avarige
4363,himself (reflexive object),pronoun,a2,N/A,ತನ್ನನ್ನು ತಾನೇ,tannannu tānē
4364,himself (emphatic subject),pronoun,a2,N/A,ತಾನೇ,tānē
4365,himself (emphatic),pronoun,a2,N/A,ಸ್ವತಃ,svataḥ
4366,to hint,verb,c1,transitive,ಸುಳಿವು ಕೊಡು / ಸೂಚಿಸು / ಇಂಗಿತ ವ್ಯಕ್ತಪಡಿಸು,suḷivu koḍu / sūcisu / iṁgita vyaktapaḍisu
4367,"hint (trace, clue)",noun,c1,N/A,ಸುಳಿವು / ಲವಲೇಶ,suḷivu / lavalēśa
4368,hint (trace of flavor/mood),noun,c1,N/A,ಲವಲೇಶ / ಛಾಯೆ / ಸುಳಿವು,lavalēśa / chāye / suḷivu
4369,to hint (indirectly),verb,c1,transitive,ಸೂಚಿಸು / ಸುಳಿವು ಕೊಡು,sūcisu / suḷivu koḍu
4370,to hint (by non-verbal cue),verb,c1,transitive,ಇಂಗಿತ ಕೊಡು / ಸನ್ನೆ ಮಾಡು,iṁgita koḍu / sanne māḍu
4371,hip,noun,b2,N/A,ಸೊಂಟ,soṁṭa
4372,hire (rental cost/agreement),noun,b2,N/A,ಬಾಡಿಗೆ / ಗುತ್ತಿಗೆ,bāḍige / guttige
4373,hire (person recruited),noun,b2,N/A,ಹೊಸ ಉದ್ಯೋಗಿ / ನೇಮಕಗೊಂಡ ವ್ಯಕ್ತಿ,hosa udyōgi / nēmakagoṁḍa vyakti
4374,"to hire (personnel, to employ)",verb,b1,transitive,ನೇಮಿಸು / ಕೆಲಸಕ್ಕೆ ತೆಗೆದುಕೊಳ್ಳು,nēmisu / kelasakke tegedukoḷḷu
4375,to hire (to rent temporarily),verb,b1,transitive,ಬಾಡಿಗೆಗೆ ತೆಗೆದುಕೊಳ್ಳು / ಬಾಡಿಗೆ ಮಾಡು,bāḍigege tegedukoḷḷu / bāḍige māḍu
4376,"his (respectful, determiner)",determiner,a1,N/A,ಅವರ,avara
4377,"his (standard, pronoun)",pronoun,a2,N/A,ಅವನದು,avanadu
4378,"his (respectful, pronoun)",pronoun,a2,N/A,ಅವರದು,avaradu
4379,historian (female),noun,b2,N/A,ಇತಿಹಾಸಜ್ಞೆ,itihāsajñe
4380,historic,adjective,b1,N/A,ಚಾರಿತ್ರಿಕ / ಐತಿಹಾಸಿಕ,cāritrika / aitihāsika
4381,historical,adjective,b1,N/A,ಐತಿಹಾಸಿಕ,aitihāsika
4382,"history (general, personal record)",noun,a2,N/A,ಇತಿಹಾಸ / ಚರಿತ್ರೆ,itihāsa / caritre
4383,hit (blow),noun,a2,N/A,ಹೊಡೆತ / ಏಟು,hoḍeta / ēṭu
4384,hit (success),noun,a2,N/A,ಯಶಸ್ಸು / ಗೆಲುವು,yaśassu / geluvu
4385,to hit (to collide with),verb,a2,transitive,ಡಿಕ್ಕಿ ಹೊಡೆ / ಅಪ್ಪಳಿಸು,ḍikki hoḍe / appaḷisu
4386,hobby,noun,a1,N/A,ಹವ್ಯಾಸ,havyāsa
4387,hockey,noun,a2,N/A,ಹಾಕೀ,hākī
4388,hold (grip),noun,b2,N/A,ಹಿಡಿತ,hiḍita
4389,hold (influence),noun,b2,N/A,ಪ್ರಭಾವ / ಹಿಡಿತ,prabhāva / hiḍita
4390,hold (cargo area),noun,b2,N/A,ಸರಕು ಕೋಣೆ,saraku kōṇe
4391,to hold (a meeting/event),verb,a2,transitive,ನಡೆಸು / ಆಯೋಜಿಸು,naḍesu / āyōjisu
4392,hole (puncture/tear),noun,a2,N/A,ತೂತು / ರಂಧ್ರ,tūtu / raṁdhra
4393,hole (pit/large depression),noun,a2,N/A,ಗುಂಡಿ / ಹಳ್ಳ,guṁḍi / haḷḷa
4394,holiday (day off),noun,a1,N/A,ರಜೆ / ಸಾರ್ವಜನಿಕ ರಜೆ,raje / sārvajanika raje
4395,holiday (vacation/trip),noun,a1,N/A,ಪ್ರವಾಸ / ರಜಾದಿನ / ವಿಹಾರ,pravāsa / rajādina / vihāra
4396,hollow (meaningless/vain),adjective,b2,N/A,ನಿರರ್ಥಕ / ವ್ಯರ್ಥ / ಶೂನ್ಯ,nirarthaka / vyartha / śūnya
4397,holy,adjective,b2,N/A,ಪವಿತ್ರ / ಪುಣ್ಯ / ದೈವಿಕ,pavitra / puṇya / daivika
4398,home (adjective),adjective,a2,N/A,ಮನೆಯ,maneya
4399,"home (adverb, towards residence)",adverb,a1,N/A,ಮನೆಗೆ,manege
4400,"home (location, at residence)",adverb,a1,N/A,ಮನೆಯಲ್ಲಿ / ಮನೆಯೊಳಗೆ,maneyalli / maneyoḷage
4401,home (formal residence),noun,a1,N/A,ಮನೆ / ನಿವಾಸ / ಗೃಹ,mane / nivāsa / gr̥ha
4402,"homeland (motherland, native land)",noun,c1,N/A,ಮಾತೃಭೂಮಿ / ಸ್ವದೇಶ / ಜನ್ಮಭೂಮಿ,mātr̥bhūmi / svadēśa / janmabhūmi
4403,homeless,adjective,b2,N/A,ನಿರಾಶ್ರಿತ / ಮನೆಯಿಲ್ಲದ,nirāśrita / maneyillada
4404,homework,noun,a1,N/A,ಮನೆಪಾಠ / ಗೃಹಪಾಠ,manepāṭha / gr̥hapāṭha
4405,honest,adjective,b1,N/A,ಪ್ರಾಮಾಣಿಕ / ಸತ್ಯವಂತ / ನಿಷ್ಠಾವಂತ,prāmāṇika / satyavaṁta / niṣṭhāvaṁta
4406,honesty,noun,b2,N/A,ಪ್ರಾಮಾಣಿಕತೆ / ಸತ್ಯಸಂಧತೆ / ನಿಷ್ಠೆ,prāmāṇikate / satyasaṁdhate / niṣṭhe
4407,honour,noun,b2,N/A,ಗೌರವ / ಮರ್ಯಾದೆ / ಆದರ,gaurava / maryāde / ādara
4408,to honour (formally recognize or award),verb,b2,transitive,ಗೌರವಿಸು / ಸನ್ಮಾನಿಸು / ಆದರಿಸು,gauravisu / sanmānisu / ādarisu
4409,hook (boxing punch),noun,b2,N/A,ಹುಕ್,huk
4410,"hook (memorable element, music or advertising)",noun,b2,N/A,ಹುಕ್ / ಆಕರ್ಷಕ ಅಂಶ,huk / ākarṣaka aṁśa
4411,hook (memorable element),noun,b2,N/A,ಆಕರ್ಷಕ ಅಂಶ / ಹುಕ್,ākarṣaka aṁśa / huk
4412,"to hook (to fasten, latch)",verb,c1,transitive,ಸಿಕ್ಕಿಸು / ಸಿಕ್ಕಾಕು,sikkisu / sikkāku
4413,"to hook (to fasten, latch with a hook)",verb,c1,transitive,ಕೊಕ್ಕೆಯಿಂದ ಸಿಕ್ಕಿಸು / ಕೊಕ್ಕೆ ಹಾಕು,kokkeyiṁda sikkisu / kokke hāku
4414,"to hook (to attract strongly, addict)",verb,c1,transitive,ವ್ಯಸನಿಯಾಗಿಸು / ಚಟ ಹಚ್ಚಿಸು,vyasaniyāgisu / caṭa haccisu
4415,"to hook (to steal, pilfer)",verb,c1,transitive,ಕದಿ / ಲಪಟಾಯಿಸು / ಕಳ್ಳತನ ಮಾಡು,kadi / lapaṭāyisu / kaḷḷatana māḍu
4416,hope,noun,a2,N/A,ಭರವಸೆ / ನಿರೀಕ್ಷೆ / ಆಶಯ,bharavase / nirīkṣe / āśaya
4417,"hall (large assembly room, building)",noun,a2,N/A,ಸಭಾಂಗಣ / ಹಾಲ್ / ಸಭಾ ಭವನ,sabhāṁgaṇa / hāl / sabhā bhavana
4418,"hall (entrance passage, vestibule)",noun,a2,N/A,ಹಜಾರ / ಪ್ರವೇಶ ದ್ವಾರ / ಮುಂಭಾಗ,hajāra / pravēśa dvāra / muṁbhāga
4419,halt (railway stop),noun,c1,N/A,ಚಿಕ್ಕ ನಿಲ್ದಾಣ / ಹಾಲ್ಟ್,cikka nildāṇa / hālṭ
4420,to halt (stop moving),verb,c1,intransitive,ನಿಲ್ಲು / ನಿಂತು ಹೋಗು,nillu / niṁtu hōgu
4421,"to halt (suspend operations, a process)",verb,c1,transitive,ಸ್ಥಗಿತಗೊಳಿಸು / ನಿಲ್ಲಿಸು / ತಡೆಹಿಡಿ,sthagitagoḷisu / nillisu / taḍehiḍi
4422,hand,noun,a1,N/A,ಕೈ / ಹಸ್ತ,kai / hasta
4423,to hand (in),verb,b1,transitive,ಒಪ್ಪಿಸು / ಹಸ್ತಾಂತರಿಸು,oppisu / hastāṁtarisu
4424,to hand (out),verb,b1,transitive,ಹಂಚು / ವಿತರಿಸು,haṁcu / vitarisu
4425,handful (troublesome person),noun,c1,N/A,ತಲೆನೋವು / ಕಿರಿಕಿರಿ,talenōvu / kirikiri
4426,handle (online identity),noun,b2,N/A,ಬಳಕೆದಾರ ಹೆಸರು / ಐಡಿ / ಅಡ್ಡಹೆಸರು,baḷakedāra hesaru / aiḍi / aḍḍahesaru
4427,to handle (to manage a situation or problem),verb,b2,transitive,ನಿಭಾಯಿಸು / ನಿರ್ವಹಿಸು,nibhāyisu / nirvahisu
4428,to handle (to physically touch or operate an object),verb,b2,transitive,ಮುಟ್ಟು / ನಿರ್ವಹಿಸು / ಕೈಯಾಡಿಸು,muṭṭu / nirvahisu / kaiyāḍisu
4429,handling (management),noun,c1,N/A,ನಿರ್ವಹಣೆ / ನಿಭಾಯಿಸುವಿಕೆ,nirvahaṇe / nibhāyisuvike
4430,handling (physical manipulation),noun,c1,N/A,ಕೈಯಾಡಿಸುವಿಕೆ / ಬಳಸುವುದು / ಸ್ಪರ್ಶಿಸುವುದು,kaiyāḍisuvike / baḷasuvudu / sparśisuvudu
4431,"handy (convenient, useful)",adjective,c1,N/A,ಅನುಕೂಲಕರ / ಉಪಯುಕ್ತ / ಸುಲಭ,anukūlakara / upayukta / sulabha
4432,handy (skilled with hands),adjective,c1,N/A,ಕೈಚಳಕದ / ಕುಶಲ / ನುರಿತ,kaicaḷakada / kuśala / nurita
4433,to hang (to suspend an object),verb,b1,transitive,ತೂಗು ಹಾಕು / ನೇತು ಹಾಕು,tūgu hāku / nētu hāku
4434,to hang (to spend time with friends),verb,b1,intransitive,ಸುತ್ತಾಡು / ಕಾಲ ಕಳಿ / ಒಡನಾಡು,suttāḍu / kāla kaḷi / oḍanāḍu
4435,to become,verb,a1,intransitive,ಆಗು / ಆಗಿರು,āgu / āgiru
4436,happily (willingly),adverb,a2,N/A,ಸಂತೋಷದಿಂದ / ಖುಷಿಯಿಂದ / ಆನಂದದಿಂದ,saṁtōṣadiṁda / khuṣiyiṁda / ānaṁdadiṁda
4437,happiness (contentment),noun,b1,N/A,ಸುಖ / ಸಂತೋಷ / ನೆಮ್ಮದಿ,sukha / saṁtōṣa / nemmadi
4438,"happiness (joy, glee)",noun,b1,N/A,ಖುಷಿ / ಆನಂದ / ಸಂತೋಷ,khuṣi / ānaṁda / saṁtōṣa
4439,happy,adjective,a1,N/A,ಸಂತೋಷದ / ಖುಷಿಯಾದ / ಆನಂದಮಯ,saṁtōṣada / khuṣiyāda / ānaṁdamaya
4440,harassment,noun,c1,N/A,ಕಿರುಕುಳ / ಹಿಂಸೆ / ಪೀಡನೆ,kirukuḷa / hiṁse / pīḍane
4441,harbour,noun,b2,N/A,ಬಂದರು / ರೇವು,baṁdaru / rēvu
4442,hard (physically firm),adjective,a1,N/A,ಗಟ್ಟಿ / ಕಠಿಣ / ದೃಢ,gaṭṭi / kaṭhiṇa / dr̥ḍha
4443,hard (difficult),adjective,a1,N/A,ಕಷ್ಟ / ಕಠಿಣ / ದುರ್ಲಭ,kaṣṭa / kaṭhiṇa / durlabha
4444,hard (with effort),adverb,a1,N/A,ಕಷ್ಟಪಟ್ಟು / ಶ್ರಮಪಟ್ಟು,kaṣṭapaṭṭu / śramapaṭṭu
4445,hard (forcefully),adverb,a1,N/A,ಜೋರಾಗಿ / ಬಲವಾಗಿ / ತೀವ್ರವಾಗಿ,jōrāgi / balavāgi / tīvravāgi
4446,hardly,adverb,b1,N/A,ವಿರಳವಾಗಿ / ಬಹುತೇಕ ಇಲ್ಲ / ಕಷ್ಟದಿಂದ,viraḷavāgi / bahutēka illa / kaṣṭadiṁda
4447,hardware (computing equipment),noun,c1,N/A,ಯಂತ್ರಾಂಶ / ಹಾರ್ಡ್ವೇರ್,yaṁtrāṁśa / hārḍvēr
4448,hardware (tools and metal goods),noun,c1,N/A,ಹಾರ್ಡ್ವೇರ್ ಸಾಮಾನುಗಳು / ಕಬ್ಬಿಣದ ಸಾಮಾನುಗಳು / ಲೋಹದ ವಸ್ತುಗಳು,hārḍvēr sāmānugaḷu / kabbiṇada sāmānugaḷu / lōhada vastugaḷu
4449,harm,noun,b2,N/A,ಹಾನಿ / ನಷ್ಟ / ಕೇಡು,hāni / naṣṭa / kēḍu
4472,to have (a discussion),auxiliary verb,a2,transitive,ಚರ್ಚೆ ಮಾಡು / ಮಾತುಕತೆ ನಡೆಸು,carce māḍu / mātukate naḍesu
4474,hazard (source of danger),noun,c1,N/A,ಅಪಾಯ / ಗಂಡಾಂತರ / ಅಪಾಯದ ಮೂಲ,apāya / gaṁḍāṁtara / apāyada mūla
4500,"heavily (intensely, a lot)",adverb,b1,N/A,ಬಹಳ / ತುಂಬಾ / ಹೆಚ್ಚಾಗಿ / ಅಧಿಕವಾಗಿ,bahaḷa / tuṁbā / heccāgi / adhikavāgi
4501,heavily (raining),adverb,b1,N/A,ಜೋರಾಗಿ / ಭಾರೀ / ಅತಿಯಾಗಿ,jōrāgi / bhārī / atiyāgi
4502,"heavily (significantly, extensively)",adverb,b1,N/A,ದೊಡ್ಡ ಪ್ರಮಾಣದಲ್ಲಿ / ಗಣನೀಯವಾಗಿ / ವ್ಯಾಪಕವಾಗಿ,doḍḍa pramāṇadalli / gaṇanīyavāgi / vyāpakavāgi
4503,"heavily (with effort, burden)",adverb,b1,N/A,ಭಾರವಾಗಿ / ಕಷ್ಟದಿಂದ / ಶ್ರಮದಿಂದ,bhāravāgi / kaṣṭadiṁda / śramadiṁda
4504,heavy (in weight or mass),adjective,a2,N/A,ಭಾರವಾದ / ತೂಕವಾದ,bhāravāda / tūkavāda
4505,heavy (intense or severe),adjective,a2,N/A,ತೀವ್ರವಾದ / ಕಠಿಣವಾದ / ಭಾರೀ,tīvravāda / kaṭhiṇavāda / bhārī
4506,heavy (rain),adjective,a2,N/A,ಜೋರಾದ / ಭಾರೀ,jōrāda / bhārī
4507,"heavy (workload, traffic)",adjective,a2,N/A,ಭಾರೀ / ಅಧಿಕ / ಹೆಚ್ಚಿನ,bhārī / adhika / heccina
4508,heel (of a shoe),noun,b2,N/A,ಹಿಮ್ಮಡಿ,himmaḍi
4509,height (elevation or high place),noun,a2,N/A,ಎತ್ತರ / ಉನ್ನತಿ,ettara / unnati
4510,to heighten (physical height),verb,c1,transitive,ಏರಿಸು / ಎತ್ತರ ಮಾಡು,ērisu / ettara māḍu
4511,"to heighten (intensity, impact)",verb,c1,transitive,ಹೆಚ್ಚಿಸು / ತೀವ್ರಗೊಳಿಸು,heccisu / tīvragoḷisu
4512,helicopter,noun,b1,N/A,ಹೆಲಿಕಾಪ್ಟರ್,helikāpṭar
4513,hell (mythological underworld or abyss),noun,b2,N/A,ಪಾತಾಳ / ಅಧೋಲೋಕ,pātāḷa / adhōlōka
4514,hell (place of punishment),noun,b2,N/A,ನರಕ,naraka
4515,hello (on the phone),exclamation,a1,N/A,ಹಲೋ,halō
4516,"hi , hey (casual greeting)",exclamation,a1,N/A,ಹಾಯ್ / ಏನು ಸಮಾಚಾರ,hāy / ēnu samācāra
4517,"greetings , hello (respectful standard greeting)",noun,a1,N/A,ನಮಸ್ಕಾರ / ಶುಭಾಶಯಗಳು,namaskāra / śubhāśayagaḷu
4518,helmet,noun,b2,N/A,ಹೆಲ್ಮೆಟ್ / ಶಿರಸ್ತ್ರಾಣ,helmeṭ / śirastrāṇa
4519,insider (financial context),noun,c1,N/A,ಗೋಪ್ಯಮಾಹಿತಿ ಉಳ್ಳವನು / ಆಂತರಿಕ ವ್ಯಕ್ತಿ,gōpyamāhiti uḷḷavanu / āṁtarika vyakti
4520,insight (deep understanding),noun,b2,N/A,ಅಂತರ್ದೃಷ್ಟಿ / ಒಳನೋಟ,aṁtardr̥ṣṭi / oḷanōṭa
4521,"insight (specific finding, data-based)",noun,b2,N/A,ಕಂಡು ಹಿಡಿತ / ತಿಳುವಳಿಕೆ,kaṁḍu hiḍita / tiḷuvaḷike
4522,to insist,verb,b2,N/A,ಹಠ ಹಿಡಿ / ಒತ್ತಾಯಿಸು,haṭha hiḍi / ottāyisu
4523,to insist (formally),verb,b2,N/A,ಆಗ್ರಹಿಸು / ದೃಢಪಡಿಸು,āgrahisu / dr̥ḍhapaḍisu
4524,to inspect (officially or systematically),verb,c1,transitive,ಪರಿಶೀಲಿಸು / ತನಿಖೆ ಮಾಡು,pariśīlisu / tanikhe māḍu
4525,to inspect (to scrutinize details),verb,c1,transitive,ಪರೀಕ್ಷಿಸು / ಸೂಕ್ಷ್ಮವಾಗಿ ಗಮನಿಸು,parīkṣisu / sūkṣmavāgi gamanisu
4526,inspection,noun,c1,N/A,ಪರಿಶೀಲನೆ / ತನಿಖೆ,pariśīlane / tanikhe
4527,inspector,noun,b2,N/A,ನಿರೀಕ್ಷಕರು / ತನಿಖಾಧಿಕಾರಿ,nirīkṣakaru / tanikhādhikāri
4528,inspiration (inhalation),noun,c1,N/A,ಶ್ವಾಸಕೊಳ್ಳುವಿಕೆ / ಉಸಿರು ಒಳಗೆ ತೆಗೆದುಕೊಳ್ಳುವುದು,śvāsakoḷḷuvike / usiru oḷage tegedukoḷḷuvudu
4529,to inspire,verb,b2,transitive,ಪ್ರೇರೇಪಿಸು / ಪ್ರೇರಣೆ ನೀಡು,prērēpisu / prēraṇe nīḍu
4530,to install (software or equipment),verb,b2,transitive,ಸ್ಥಾಪಿಸು / ಅಳವಡಿಸು,sthāpisu / aḷavaḍisu
4531,"to install (ceremonial, place in office)",verb,b2,transitive,ಸ್ಥಾನಾರೂಢ ಮಾಡು / ಅಧಿಕಾರಕ್ಕೆ ತರು,sthānārūḍha māḍu / adhikārakke taru
4532,"installation (facility, base)",noun,b2,N/A,ಸ್ಥಾಪನೆ / ಅಳವಡಿಕೆ,sthāpane / aḷavaḍike
4533,"installation (artwork, exhibit)",noun,b2,N/A,ಕಲಾ ಸ್ಥಾಪನೆ / ಕಲಾಕೃತಿ ಸ್ಥಾಪನೆ,kalā sthāpane / kalākr̥ti sthāpane
4534,instance,noun,b2,N/A,ಸಂದರ್ಭ / ಪ್ರಕರಣ,saṁdarbha / prakaraṇa
4535,instance (example),noun,b2,N/A,ಉದಾಹರಣೆ / ದೃಷ್ಟಾಂತ,udāharaṇe / dr̥ṣṭāṁta
4536,instant (quick preparation),adjective,b2,N/A,ತ್ವರಿತ / ತತ್ ಕ್ಷಣದ,tvarita / tat kṣaṇada
4537,"instantly (immediately, right away)",adverb,b2,N/A,ತಕ್ಷಣವೇ / ಕೂಡಲೇ,takṣaṇavē / kūḍalē
4538,instead,adverb,a2,N/A,ಬದಲಿಗೆ / ಅದರ ಬದಲು,badalige / adara badalu
4539,"instinct (natural impulse, drive)",noun,c1,N/A,ಸಹಜ ಪ್ರವೃತ್ತಿ / ಸ್ವಾಭಾವಿಕ ಪ್ರೇರಣೆ,sahaja pravr̥tti / svābhāvika prēraṇe
4540,"instinct (gut feeling, intuition)",noun,c1,N/A,ಅಂತಃಪ್ರಜ್ಞೆ / ಒಳಭಾವನೆ,aṁtaḥprajñe / oḷabhāvane
4541,institute,noun,b2,N/A,ಸಂಸ್ಥೆ / ಸಂಘ,saṁsthe / saṁgha
4542,institution (social custom or practice),noun,b2,N/A,ಸಾಮಾಜಿಕ ಪದ್ಧತಿ / ಸಂಪ್ರದಾಯ,sāmājika paddhati / saṁpradāya
