english_word,word_class,telugu_translation,transliteration,verb_transitivity,level
to gather (information or data),verb,సేకరించు / కూడబెట్టు / పోగుచేయు,sēkariṁcu / kūḍabeṭṭu / pōgucēyu,transitive,b1
"to gather (things or people together, to collect)",verb,సేకరించు / కూడబెట్టు / పోగుచేయు,sēkariṁcu / kūḍabeṭṭu / pōgucēyu,transitive,b1
"to gather (things or people, to collect)",verb,సేకరించు / కూడబెట్టు / పోగుచేయు,sēkariṁcu / kūḍabeṭṭu / pōgucēyu,transitive,b1
"to gather (to assemble, come together)",verb,గుమిగూడు / చేరు / సమకూడు,gumigūḍu / cēru / samakūḍu,intransitive,b1
to go ahead / to proceed,verb,ముందుకు వెళ్ళు / కొనసాగు / సాగు,muṁduku veḷḷu / konasāgu / sāgu,intransitive,b1
to graduate,verb,పట్టభద్రత పొందు / గ్రాడ్యుయేట్ అవు,paṭṭabhadrata poṁdu / grāḍyuyēṭ avu,intransitive,b1
to guard (to keep watch over),verb,కాపాడు / రక్షించు / పహారా కాయు,kāpāḍu / rakṣiṁcu / pahārā kāyu,transitive,b1
to hand (in),verb,అందజేయు / సమర్పించు / ఇవ్వు,aṁdajēyu / samarpiṁcu / ivvu,transitive,b1
to hand (out),verb,పంచు / అందజేయు / పంపిణీ చేయు,paṁcu / aṁdajēyu / paṁpiṇī cēyu,transitive,b1
to hang (to spend time with friends),verb,స్నేహితులతో గడుపు / తిరుగు,snēhitulatō gaḍupu / tirugu,intransitive,b1
to hang (to suspend an object),verb,వేలాడదీయు / తగిలించు,vēlāḍadīyu / tagiliṁcu,transitive,b1
to hate (interpersonal),verb,ద్వేషించు / అసహ్యించుకొను,dvēṣiṁcu / asahyiṁcukonu,transitive,b1
to head (to lead or manage),verb,నాయకత్వం వహించు / నిర్వహించు / నడుపు,nāyakatvaṁ vahiṁcu / nirvahiṁcu / naḍupu,transitive,b1
to head (to move towards a place),verb,వెళ్ళు / బయలుదేరు / పయనించు,veḷḷu / bayaludēru / payaniṁcu,intransitive,b1
to highlight (to emphasize importance),verb,నొక్కి చెప్పు / ప్రముఖంగా చూపు / హైలైట్ చేయు,nokki ceppu / pramukhaṁgā cūpu / hailaiṭ cēyu,transitive,b1
"to highlight (visually, using marker)",verb,హైలైట్ చేయు / గుర్తించు,hailaiṭ cēyu / gurtiṁcu,transitive,b1
"to hire (personnel, to employ)",verb,నియమించు / ఉద్యోగంలో పెట్టు / పనిలో పెట్టు,niyamiṁcu / udyōgaṁlō peṭṭu / panilō peṭṭu,transitive,b1
to hire (to rent temporarily),verb,అద్దెకు తీసుకో / కిరాయికి తీసుకో,addeku tīsukō / kirāyiki tīsukō,transitive,b1
to hunt,verb,వేటాడ,vēṭāḍa,transitive,b1
"to hurry (expedite, urge)",verb,తొందరపెట్టు / త్వరపెట్టు,toṁdarapeṭṭu / tvarapeṭṭu,transitive,b1
"to identify (to recognize, determine)",verb,గుర్తించు / కనుగొను / నిర్ధారించు,gurtiṁcu / kanugonu / nirdhāriṁcu,transitive,b1
to identify (to relate closely to),verb,తాదాత్మ్యం చెందు / సంబంధం కనుగొను,tādātmyaṁ ceṁdu / saṁbaṁdhaṁ kanugonu,transitive,b1
to ignore,verb,పట్టించుకోకు / విస్మరించు / నిర్లక్ష్యం చేయు,paṭṭiṁcukōku / vismariṁcu / nirlakṣyaṁ cēyu,transitive,b1
to impact (to affect strongly),verb,ప్రభావితం చేయు / ప్రభావం చూపు,prabhāvitaṁ cēyu / prabhāvaṁ cūpu,transitive,b1
"to impact (to collide, strike)",verb,ఢీకొను / తాకు / గుద్దు,ḍhīkonu / tāku / guddu,intransitive,b1
"to import (data, files)",verb,ఇంపోర్ట్ చేయి / లోడ్ చేయి,iṁpōrṭ cēyi / lōḍ cēyi,transitive,b1
to indicate (point out),verb,చూపించు / సూచించు,cūpiṁcu / sūciṁcu,transitive,b1
to indicate (show clearly),verb,తెలుపు / చూపించు / సూచించు,telupu / cūpiṁcu / sūciṁcu,transitive,b1
to influence (to have an effect on),verb,ప్రభావం చూపు / ప్రభావితం చేయి,prabhāvaṁ cūpu / prabhāvitaṁ cēyi,transitive,b1
to influence (to persuade or sway),verb,ఒప్పించు / ప్రభావితం చేయి,oppiṁcu / prabhāvitaṁ cēyi,transitive,b1
to injure (physically),verb,గాయం చేయి / దెబ్బ తీయు / క్షతపరచు,gāyaṁ cēyi / debba tīyu / kṣataparacu,transitive,b1
to injure (reputation or pride),verb,దెబ్బ తీయు / నష్టం కలిగించు / భంగపరచు,debba tīyu / naṣṭaṁ kaligiṁcu / bhaṁgaparacu,transitive,b1
to invest (money),verb,పెట్టుబడి పెట్టు / మదుపు చేయి,peṭṭubaḍi peṭṭu / madupu cēyi,transitive,b1
to invest (time or effort),verb,కేటాయించు / పెట్టు,kēṭāyiṁcu / peṭṭu,transitive,b1
"to investigate (formally, a crime or official matter)",verb,దర్యాప్తు చేయి / విచారించు,daryāptu cēyi / vicāriṁcu,transitive,b1
to investigate (to look into or inquire generally),verb,పరిశీలించు / ఆరా తీయు,pariśīliṁcu / ārā tīyu,transitive,b1
to iron,verb,ఇస్త్రీ చేయి,istrī cēyi,transitive,b1
"to judge (evaluate, assess)",verb,అంచనా వేయు / నిర్ణయించు / మూల్యాంకనం చేయి,aṁcanā vēyu / nirṇayiṁcu / mūlyāṁkanaṁ cēyi,transitive,b1
to judge (rule legally),verb,తీర్పు చెప్పు / నిర్ణయించు / న్యాయనిర్ణయం చేయి,tīrpu ceppu / nirṇayiṁcu / nyāyanirṇayaṁ cēyi,transitive,b1
"to judge (rule legally, pass a verdict)",verb,తీర్పు చెప్పు / న్యాయనిర్ణయం చేయి,tīrpu ceppu / nyāyanirṇayaṁ cēyi,transitive,b1
to key (data entry),verb,కీ చేయి / నమోదు చేయి,kī cēyi / namōdu cēyi,transitive,b1
to key (vandalize),verb,గీరు / పాడగొట్టు,gīru / pāḍagoṭṭu,transitive,b1
to kick (quit a habit),verb,మానుకో / వదిలేయి,mānukō / vadilēyi,transitive,b1
"to kiss (intimately, romantically)",verb,ముద్దు పెట్టుకో / చూంబనం చేయి,muddu peṭṭukō / cūṁbanaṁ cēyi,transitive,b1
"to kiss (standard, affectionate)",verb,ముద్దు పెట్టుకో,muddu peṭṭukō,transitive,b1
"to label (physically, to tag)",verb,లేబుల్ అంటించు / గుర్తు పెట్టు,lēbul aṁṭiṁcu / gurtu peṭṭu,transitive,b1
"to label (to classify, stereotype)",verb,ముద్ర వేయు / వర్గీకరించు,mudra vēyu / vargīkariṁcu,transitive,b1
to lack,verb,లేకపోవు / కొరవడు,lēkapōvu / koravaḍu,intransitive,b1
"to lay (a foundation, pipes, carpet)",verb,వేయు / పరచు,vēyu / paracu,transitive,b1
to lay (eggs),verb,గుడ్లు పెట్టు / పెట్టు,guḍlu peṭṭu / peṭṭu,transitive,b1
to lie (recline),verb,పడుకో / విశ్రమించు,paḍukō / viśramiṁcu,intransitive,b1
to lie (tell a falsehood),verb,అబద్ధం చెప్పు / అసత్యం పలక,abaddhaṁ ceppu / asatyaṁ palaka,intransitive,b1
to limit,verb,పరిమితం చేయి / నియంత్రించు / హద్దు పెట్టు,parimitaṁ cēyi / niyaṁtriṁcu / haddu peṭṭu,transitive,b1
to locate (to find after searching),verb,కనుగొను / గుర్తించు / పట్టుకో,kanugonu / gurtiṁcu / paṭṭukō,transitive,b1
to market (to promote strategically),verb,మార్కెటింగ్ చేయి / ప్రచారం చేయి / విపణీకరణ చేయి,mārkeṭiṁg cēyi / pracāraṁ cēyi / vipaṇīkaraṇa cēyi,transitive,b1
"to market (to sell, put up for sale)",verb,అమ్ము / విక్రయించు / మార్కెట్ చేయి,ammu / vikrayiṁcu / mārkeṭ cēyi,transitive,b1
to measure,verb,కొలువు / కొలుచు / కొలత వేయి,koluvu / kolucu / kolata vēyi,transitive,b1
"to mention (to formally cite, reference)",verb,ప్రస్తావించు / పేర్కొను / ఉదహరించు,prastāviṁcu / pērkonu / udahariṁcu,transitive,b1
"to mix (ingredients, physically)",verb,కలుపు / మిశ్రమం చేయి,kalupu / miśramaṁ cēyi,transitive,b1
"to mix, mingle (socially or intermingle)",verb,కలువు / కలిసిపో / కలగలుపు,kaluvu / kalisipō / kalagalupu,intransitive,b1
"to murder (formally, commit homicide)",verb,హత్య చేయి / చంపు,hatya cēyi / caṁpu,transitive,b1
to note (to observe or notice),verb,గమనించు / చూడు / గుర్తించు,gamaniṁcu / cūḍu / gurtiṁcu,transitive,b1
to note (to write down),verb,రాసుకో / నమోదు చేయి,rāsukō / namōdu cēyi,transitive,b1
to occur (to come to mind),verb,తోచు / స్ఫురించు,tōcu / sphuriṁcu,intransitive,b1
to occur (to happen),verb,జరుగు / సంభవించు / ఏర్పడు,jarugu / saṁbhaviṁcu / ērpaḍu,intransitive,b1
to participate,verb,పాల్గొను / భాగస్వామ్యం చేయి,pālgonu / bhāgasvāmyaṁ cēyi,intransitive,b1
to pin (attach with a fastener),verb,పిన్ చేయి / గుండుసూది పెట్టు,pin cēyi / guṁḍusūdi peṭṭu,transitive,b1
"to pin (restrain, hold down)",verb,అణచిపెట్టు / పట్టుకో / నిరోధించు,aṇacipeṭṭu / paṭṭukō / nirōdhiṁcu,transitive,b1
"to place (money, deposit)",verb,పెట్టు / జమ చేయి / ఉంచు,peṭṭu / jama cēyi / uṁcu,transitive,b1
"to place (to appoint, assign)",verb,నియమించు / కేటాయించు / పెట్టు,niyamiṁcu / kēṭāyiṁcu / peṭṭu,transitive,b1
to point (direction),verb,చూపు / నిర్దేశించు,cūpu / nirdēśiṁcu,transitive,b1
to point (suggest or indicate abstractly),verb,సూచించు / తెలియజేయు,sūciṁcu / teliyajēyu,intransitive,b1
"to poison (to corrupt, influence negatively)",verb,విషం ఎక్కించు / చెడగొట్టు / కలుషితం చేయి,viṣaṁ ekkiṁcu / ceḍagoṭṭu / kaluṣitaṁ cēyi,transitive,b1
to pour (liquid),verb,పోయు / ధారపోయు,pōyu / dhārapōyu,transitive,b1
"to pray (to earnestly request, plead)",verb,ప్రార్థించు / వేడుకో / మొక్కు,prārthiṁcu / vēḍukō / mokku,intransitive,b1
"to pray (to God, in worship)",verb,ప్రార్థించు / పూజించు / వేడుకో,prārthiṁcu / pūjiṁcu / vēḍukō,intransitive,b1
"to present (information, a report)",verb,సమర్పించు / తెలియజేయు / వివరించు,samarpiṁcu / teliyajēyu / vivariṁcu,transitive,b1
to press (iron clothes),verb,ఇస్త్రీ చేయు,istrī cēyu,transitive,b1
"to pretend (make-believe, play)",verb,నటించు,naṭiṁcu,intransitive,b1
"to pretend (to deceive, feign)",verb,నటించు / వంచించు,naṭiṁcu / vaṁciṁcu,transitive,b1
to program (software),verb,ప్రోగ్రామ్ చేయు,prōgrām cēyu,transitive,b1
to program (to schedule an event),verb,ఏర్పాటు చేయు / ప్రణాళిక చేయు,ērpāṭu cēyu / praṇāḷika cēyu,transitive,b1
to promote (a product or idea),verb,ప్రోత్సహించు / ప్రచారం చేయు,prōtsahiṁcu / pracāraṁ cēyu,transitive,b1
to promote (to a higher rank),verb,పదోన్నతి కల్పించు / ప్రమోట్ చేయు,padōnnati kalpiṁcu / pramōṭ cēyu,transitive,b1
to pronounce (a decision or verdict),verb,ప్రకటించు / తీర్పు చెప్పు,prakaṭiṁcu / tīrpu ceppu,transitive,b1
to protest,verb,నిరసించు / వ్యతిరేకించు,nirasiṁcu / vyatirēkiṁcu,transitive,b1
to prove (to turn out to be),verb,రుజువగు / నిరూపితమగు,rujuvagu / nirūpitamagu,intransitive,b1
"to prove (truth, validity)",verb,రుజువు చేయు / నిరూపించు,rujuvu cēyu / nirūpiṁcu,transitive,b1
to punish,verb,శిక్షించు / దండించు,śikṣiṁcu / daṁḍiṁcu,transitive,b1
to qualify (a statement),verb,పరిమితం చేయు / సవరించు,parimitaṁ cēyu / savariṁcu,transitive,b1
to queue,verb,వరుసలో నిలబడు / క్యూ కట్టు,varusalō nilabaḍu / kyū kaṭṭu,intransitive,b1
to quit (resign from a job),verb,రాజీనామా చేయు / ఉద్యోగం మానుకో,rājīnāmā cēyu / udyōgaṁ mānukō,transitive,b1
to quit (stop doing something),verb,మానుకో / ఆపు,mānukō / āpu,transitive,b1
to quote (a price estimate),verb,ధరను అంచనా వేయు / కోట్ చేయు,dharanu aṁcanā vēyu / kōṭ cēyu,transitive,b1
to quote (a price),verb,ధర చెప్పు / కోట్ చేయు,dhara ceppu / kōṭ cēyu,transitive,b1
to recommend (formally endorse),verb,సిఫార్సు చేయు / సూచించు,siphārsu cēyu / sūciṁcu,transitive,b1
"to reflect (image, light)",verb,ప్రతిబింబించు / ప్రతిఫలించు,pratibiṁbiṁcu / pratiphaliṁcu,transitive,b1
to reflect (think deeply),verb,ఆలోచించు / ధ్యానించు,ālōciṁcu / dhyāniṁcu,intransitive,b1
to refuse (to formally reject a proposal),verb,తిరస్కరించు / నిరాకరించు,tiraskariṁcu / nirākariṁcu,transitive,b1
"to reject (officially, proposal)",verb,తిరస్కరించు / నిరాకరించు,tiraskariṁcu / nirākariṁcu,transitive,b1
to reject (refuse an offer or request),verb,కాదను / వద్దు అను / తిరస్కరించు / నిరాకరించు,kādanu / vaddu anu / tiraskariṁcu / nirākariṁcu,transitive,b1
to reject (refuse an offer),verb,కాదను / వద్దు అను / తిరస్కరించు / నిరాకరించు,kādanu / vaddu anu / tiraskariṁcu / nirākariṁcu,transitive,b1
"to relate (to be relevant, connected)",verb,సంబంధించు / ముడిపడి ఉండు / అనుసంధానించు,saṁbaṁdhiṁcu / muḍipaḍi uṁḍu / anusaṁdhāniṁcu,intransitive,b1
"to relate (to tell, recount)",verb,చెప్పు / వివరించు / వర్ణించు,ceppu / vivariṁcu / varṇiṁcu,transitive,b1
to relax (to loosen physical tension),verb,విశ్రాంతి తీసుకో / రిలాక్స్ అవ్వు / సేద తీరు,viśrāṁti tīsukō / rilāks avvu / sēda tīru,intransitive,b1
"to release (a movie, product, prisoner)",verb,విడుదల చేయి / విడుదల పరచు,viḍudala cēyi / viḍudala paracu,transitive,b1
to remain (to continue in a state),verb,ఉండు / మిగిలి ఉండు / కొనసాగు,uṁḍu / migili uṁḍu / konasāgu,intransitive,b1
to remind (of resemblance),verb,గుర్తు చేయి / జ్ఞాపకం చేయి,gurtu cēyi / jñāpakaṁ cēyi,transitive,b1
"to rent (in, take on lease)",verb,అద్దెకు తీసుకో / అద్దెకు పుచ్చుకో,addeku tīsukō / addeku puccukō,transitive,b1
"to rent (out, lease)",verb,అద్దెకు ఇవ్వు / అద్దెకు చేయి,addeku ivvu / addeku cēyi,transitive,b1
to repeat (reiterate or practice),verb,మళ్ళీ చెప్పు / తిరిగి చేయి / పునరావృతం చేయి,maḷḷī ceppu / tirigi cēyi / punarāvr̥taṁ cēyi,transitive,b1
"to replace (to succeed, take the place of)",verb,బదులుగా ఉంచు / స్థానంలో పెట్టు / మార్చు / భర్తీ చేయి,badulugā uṁcu / sthānaṁlō peṭṭu / mārcu / bhartī cēyi,transitive,b1
to represent (act as a delegate),verb,ప్రాతినిధ్యం వహించు / ప్రతినిధిగా ఉండు,prātinidhyaṁ vahiṁcu / pratinidhigā uṁḍu,transitive,b1
to represent (to symbolize or depict),verb,సూచించు / తెలియజేయి / చిత్రీకరించు,sūciṁcu / teliyajēyi / citrīkariṁcu,transitive,b1
"to request (formally, to appeal)",verb,అభ్యర్థించు / విజ్ఞప్తి చేయి,abhyarthiṁcu / vijñapti cēyi,transitive,b1
to request (general asking),verb,అడుగు / కోరు,aḍugu / kōru,transitive,b1
to require (to mandate),verb,అవసరం చేయి / తప్పనిసరి చేయి / నిర్బంధించు,avasaraṁ cēyi / tappanisari cēyi / nirbaṁdhiṁcu,transitive,b1
to require (to need),verb,అవసరం ఉండు / కావాలి,avasaraṁ uṁḍu / kāvāli,intransitive,b1
"to respect (rules, laws, promises)",verb,పాటించు / గౌరవించు / మన్నించు,pāṭiṁcu / gauraviṁcu / manniṁcu,transitive,b1
to result (from a cause),verb,ఫలితించు / కలుగు / ఏర్పడు,phalitiṁcu / kalugu / ērpaḍu,intransitive,b1
to result (in an outcome),verb,దారితీయు / ఫలితించు / పరిణమించు,dāritīyu / phalitiṁcu / pariṇamiṁcu,intransitive,b1
to retire (from employment),verb,రిటైర్ అవ్వు / పదవీ విరమణ చేయి,riṭair avvu / padavī viramaṇa cēyi,intransitive,b1
to retire (to go to bed),verb,నిద్రపో / పడుకో,nidrapō / paḍukō,intransitive,b1
to risk,noun,ప్రమాదం / నష్టం / రిస్క్,pramādaṁ / naṣṭaṁ / risk,transitive,b1
"to risk (potential loss, danger)",verb,ప్రమాదంలో పెట్టు / రిస్క్ చేయి / సాహసించు,pramādaṁlō peṭṭu / risk cēyi / sāhasiṁcu,transitive,b1
"to risk (to stake, wager)",verb,పందెం కట్టు / పణంగా పెట్టు / ప్రమాదంలో పెట్టు,paṁdeṁ kaṭṭu / paṇaṁgā peṭṭu / pramādaṁlō peṭṭu,transitive,b1
to risk (to take a chance),verb,సాహసించు / ప్రమాదానికి ఒడిగట్టు / రిస్క్ చెయ్యి,sāhasiṁcu / pramādāniki oḍigaṭṭu / risk ceyyi,intransitive,b1
"to roll (dough, carpet)",verb,దొర్లించు / చుట్టు / వత్తు,dorliṁcu / cuṭṭu / vattu,transitive,b1
to roll (move by turning),verb,దొర్లు / పొర్లు,dorlu / porlu,intransitive,b1
"to roll up (mat, carpet)",verb,చుట్టు / మడతపెట్టు,cuṭṭu / maḍatapeṭṭu,transitive,b1
to rule (adjudicate),verb,తీర్పు చెప్పు / నిర్ణయించు,tīrpu ceppu / nirṇayiṁcu,transitive,b1
to rule (govern),verb,పాలించు / పరిపాలించు,pāliṁcu / paripāliṁcu,transitive,b1
to scan (digitize),verb,స్కాన్ చెయ్యి / డిజిటలైజ్ చెయ్యి,skān ceyyi / ḍijiṭalaij ceyyi,transitive,b1
to scan (examine quickly),verb,పరిశీలించు / త్వరగా చూడు / పైపైన చూడు,pariśīliṁcu / tvaragā cūḍu / paipaina cūḍu,transitive,b1
to score (to mark or cut),verb,గీయు / కోయు / గుర్తు పెట్టు,gīyu / kōyu / gurtu peṭṭu,transitive,b1
to separate (to divide physically),verb,విడదీయు / వేరు చెయ్యి / విభజించు,viḍadīyu / vēru ceyyi / vibhajiṁcu,transitive,b1
to separate (to part company or end a relationship),verb,విడిపో / వేరవు / దూరమగు,viḍipō / vēravu / dūramagu,intransitive,b1
"to set (a date, price, goal)",verb,నిర్ణయించు / స్థాపించు / ఖరారు చెయ్యి,nirṇayiṁcu / sthāpiṁcu / kharāru ceyyi,transitive,b1
"to set (an alarm, timer)",verb,పెట్టు / అమర్చు,peṭṭu / amarcu,transitive,b1
"to set (sun, star)",verb,అస్తమించు / కుంకు,astamiṁcu / kuṁku,intransitive,b1
to set (the table),verb,బల్ల అమర్చు / భోజనం సిద్ధం చెయ్యి,balla amarcu / bhōjanaṁ siddhaṁ ceyyi,transitive,b1
to set (to place down),verb,పెట్టు / ఉంచు,peṭṭu / uṁcu,transitive,b1
to shine (to polish),verb,మెరుగు పెట్టు / రుద్దు,merugu peṭṭu / ruddu,transitive,b1
"to shoot (film, photo)",verb,చిత్రీకరించు / తీయు / షూట్ చెయ్యి,citrīkariṁcu / tīyu / ṣūṭ ceyyi,transitive,b1
to shoot (score a goal),verb,గోల్ కొట్టు / షూట్ చెయ్యి,gōl koṭṭu / ṣūṭ ceyyi,transitive,b1
to signal (to indicate or imply),verb,సూచించు / సంకేతం ఇవ్వు,sūciṁcu / saṁkētaṁ ivvu,transitive,b1
to signal (to make a gesture),verb,సంకేతం ఇవ్వు / సైగ చెయ్యి,saṁkētaṁ ivvu / saiga ceyyi,transitive,b1
to sink (submerge),verb,మునుగు / మునిగిపో,munugu / munigipō,intransitive,b1
"to sink (to decline, drop)",verb,తగ్గు / పడిపో / దిగజారు,taggu / paḍipō / digajāru,intransitive,b1
"to sink (to drill, dig)",verb,తవ్వు / లోతు చెయ్యి,tavvu / lōtu ceyyi,transitive,b1
to slice,verb,కోయు / ముక్కలు చేయు / చీల్చు,kōyu / mukkalu cēyu / cīlcu,transitive,b1
to slow (intransitive),verb,నెమ్మదించు / మందగించు,nemmadiṁcu / maṁdagiṁcu,intransitive,b1
to slow (transitive),verb,నెమ్మది చేయు / తగ్గించు,nemmadi cēyu / taggiṁcu,transitive,b1
to sort (to categorize),verb,వేరు చేయు / వర్గీకరించు / క్రమబద్ధీకరించు,vēru cēyu / vargīkariṁcu / kramabaddhīkariṁcu,transitive,b1
to sort (to resolve an issue),verb,పరిష్కరించు / చక్కబెట్టు / సరిచేయు,pariṣkariṁcu / cakkabeṭṭu / saricēyu,transitive,b1
"to spread (a mat, blanket)",verb,పరుచు,parucu,transitive,b1
to spread (a physical object or layer),verb,పూయు / పరుచు / విస్తరించు,pūyu / parucu / vistariṁcu,transitive,b1
"to spread (news, disease, or influence)",verb,వ్యాపించు / ప్రబలు / విస్తరించు,vyāpiṁcu / prabalu / vistariṁcu,intransitive,b1
to state (to declare formally),verb,ప్రకటించు / తెలియజేయు / వెల్లడించు,prakaṭiṁcu / teliyajēyu / vellaḍiṁcu,transitive,b1
to state (to say),verb,చెప్పు / తెలుపు,ceppu / telupu,transitive,b1
"to stick (to adhere, to glue)",verb,అంటించు / అతికించు,aṁṭiṁcu / atikiṁcu,transitive,b1
to stick (to become trapped),verb,ఇరుక్కుపోవు / చిక్కుకుపోవు,irukkupōvu / cikkukupōvu,intransitive,b1
"to stick (to poke, to thrust)",verb,గుచ్చు / పొడుచు,guccu / poḍucu,transitive,b1
to store (accumulate resources),verb,నిల్వ చేయు / పోగు చేయు / సేకరించు,nilva cēyu / pōgu cēyu / sēkariṁcu,transitive,b1
to store (digital data),verb,నిల్వ చేయు / భద్రపరచు / స్టోర్ చేయు,nilva cēyu / bhadraparacu / sṭōr cēyu,transitive,b1
to study (examine closely),verb,పరిశీలించు / అధ్యయనం చేయు / శోధించు,pariśīliṁcu / adhyayanaṁ cēyu / śōdhiṁcu,transitive,b1
to succeed (follow in sequence or office),verb,తరువాత వచ్చు / అనుసరించు / వారసత్వంగా వచ్చు,taruvāta vaccu / anusariṁcu / vārasatvaṁgā vaccu,intransitive,b1
to succeed (follow in sequence),verb,అనుసరించు / తరువాత వచ్చు,anusariṁcu / taruvāta vaccu,transitive,b1
to suffer (losses or defeat),verb,నష్టపోవు / ఓటమి పాలగు / భరించు,naṣṭapōvu / ōṭami pālagu / bhariṁcu,transitive,b1
to suffer (pain or hardship),verb,బాధపడు / కష్టపడు / అనుభవించు,bādhapaḍu / kaṣṭapaḍu / anubhaviṁcu,intransitive,b1
to suit (to be agreeable or convenient),verb,సరిపడు / అనుకూలించు,saripaḍu / anukūliṁcu,intransitive,b1
to suit (to look good on someone),verb,నప్పు / సరిపోవు / బాగుండు,nappu / saripōvu / bāguṁḍu,intransitive,b1
to summarize,verb,సంగ్రహించు / క్లుప్తీకరించు / సంక్షిప్తీకరించు,saṁgrahiṁcu / kluptīkariṁcu / saṁkṣiptīkariṁcu,transitive,b1
to supply,verb,సరఫరా చేయు / అందించు / సమకూర్చు,sarapharā cēyu / aṁdiṁcu / samakūrcu,transitive,b1
to surface,verb,పైకి వచ్చు / బయటపడు / తేలు,paiki vaccu / bayaṭapaḍu / tēlu,intransitive,b1
"to surface (become known, revealed)",verb,బయటపడు / వెల్లడికా / బయటికిరా,bayaṭapaḍu / vellaḍikā / bayaṭikirā,intransitive,b1
to survive (to manage to live),verb,బ్రతుకు / నిలబడు / తట్టుకో,bratuku / nilabaḍu / taṭṭukō,intransitive,b1
to survive (to remain alive),verb,జీవించు / బ్రతుకు / ప్రాణాలతో ఉండు,jīviṁcu / bratuku / prāṇālatō uṁḍu,intransitive,b1
to switch (change or swap),verb,మార్చు / మార్పిడి చేయి / మార్చుకో,mārcu / mārpiḍi cēyi / mārcukō,transitive,b1
"to switch (on, off a device)",verb,ఆన్ చేయి / ఆఫ్ చేయి / వెలిగించు / ఆర్పేయి,ān cēyi / āph cēyi / veligiṁcu / ārpēyi,transitive,b1
to take a chance,verb,సాహసించు / అదృష్టాన్ని పరీక్షించు / రిస్క్ తీసుకో,sāhasiṁcu / adr̥ṣṭānni parīkṣiṁcu / risk tīsukō,intransitive,b1
to tax (financially),verb,పన్ను విధించు / పన్ను వేయి,pannu vidhiṁcu / pannu vēyi,transitive,b1
"to tax (to strain, burden)",verb,శ్రమపెట్టు / భారం మోపు,śramapeṭṭu / bhāraṁ mōpu,transitive,b1
"to tend (to be inclined, likely)",verb,మొగ్గు చూపు / అవకాశం ఉండు / ప్రవృత్తి ఉండు,moggu cūpu / avakāśaṁ uṁḍu / pravr̥tti uṁḍu,intransitive,b1
"to tend (to care for, look after)",verb,చూసుకో / శ్రద్ధ తీసుకో / సంరక్షించు,cūsukō / śraddha tīsukō / saṁrakṣiṁcu,transitive,b1
"to thank (formally, to render thanks)",verb,ధన్యవాదాలు చెప్పు / కృతజ్ఞతలు తెలుపు / థాంక్స్ చెప్పు,dhanyavādālu ceppu / kr̥tajñatalu telupu / thāṁks ceppu,transitive,b1
to tip (give gratuity),verb,టిప్ ఇవ్వు / బహుమతి ఇవ్వు,ṭip ivvu / bahumati ivvu,transitive,b1
"to tip (overturn, knock over)",verb,పడగొట్టు / బోర్లించు / తలకిందులు చేయి,paḍagoṭṭu / bōrliṁcu / talakiṁdulu cēyi,transitive,b1
"to tip (tilt, overturn)",verb,ఒరుగు / బోర్లపడు / పడిపో,orugu / bōrlapaḍu / paḍipō,intransitive,b1
to tip (to tilt something),verb,వంచు / ఒంపు / పక్కకు వంచు,vaṁcu / oṁpu / pakkaku vaṁcu,transitive,b1
"to tour (formal, extended journey)",verb,పర్యటించు / ప్రయాణించు / టూర్ చేయి,paryaṭiṁcu / prayāṇiṁcu / ṭūr cēyi,intransitive,b1
to trade (commercially),verb,వ్యాపారం చేయి / వర్తకం చేయి / వర్తించు,vyāpāraṁ cēyi / vartakaṁ cēyi / vartiṁcu,transitive,b1
to trade (to exchange items),verb,మార్చుకో / మార్పిడి చేయి / బేరం చేయి,mārcukō / mārpiḍi cēyi / bēraṁ cēyi,transitive,b1
to translate,verb,అనువదించు / తర్జుమా చేయి / మార్చు,anuvadiṁcu / tarjumā cēyi / mārcu,transitive,b1
to transport,verb,రవాణా చేయి / తరలించు / చేరవేయి,ravāṇā cēyi / taraliṁcu / cēravēyi,transitive,b1
to treat (medically),verb,చికిత్స చేయి / వైద్యం చేయి / నయం చేయి,cikitsa cēyi / vaidyaṁ cēyi / nayaṁ cēyi,transitive,b1
to treat (to behave towards),verb,చూడు / వ్యవహరించు / నడుచుకో,cūḍu / vyavahariṁcu / naḍucukō,transitive,b1
to treat (to pay for someone else),verb,విందు ఇవ్వు / ఖర్చు పెట్టు / పార్టీ ఇవ్వు,viṁdu ivvu / kharcu peṭṭu / pārṭī ivvu,transitive,b1
to trick (deceive for gain),verb,మోసం చేయి / వంచించు / బురిడీ కొట్టించు,mōsaṁ cēyi / vaṁciṁcu / buriḍī koṭṭiṁcu,transitive,b1
"to trick (fool, baffle)",verb,మోసం చేయి / బురిడీ కొట్టించు / మభ్యపెట్టు,mōsaṁ cēyi / buriḍī koṭṭiṁcu / mabhyapeṭṭu,transitive,b1
to type,verb,టైప్ చేయు,ṭaip cēyu,transitive,b1
"to update (data, system)",verb,అప్‌డేట్ చేయు / తాజా చేయు / నవీకరించు,apḍēṭ cēyu / tājā cēyu / navīkariṁcu,transitive,b1
to update (to inform someone),verb,తెలియజేయు / సమాచారం ఇవ్వు / వివరాలు చెప్పు,teliyajēyu / samācāraṁ ivvu / vivarālu ceppu,transitive,b1
